,ns-3.csv,novembre.csv,open-beos.csv,cornerstone.csv,planeshift.csv,sbml.csv,frogatto.csv,ardour.csv
ardour.csv,0.57,0.5,0.44,0.32,0.33,0.32,0.53,0.38
cornerstone.csv,0.57,0.89,0.83,0.41,0.65,0.9,0.33,0.51
frogatto.csv,0.51,0.34,0.38,0.36,0.33,0.37,0.44,0.37
novembre.csv,0.67,0.52,0.49,0.5,0.87,0.42,0.9,0.55
ns-3.csv,0.44,0.33,0.43,0.48,0.35,0.44,0.37,0.36
open-beos.csv,0.51,0.42,0.5,0.52,0.43,0.42,0.48,0.37
planeshift.csv,0.45,0.38,0.39,0.36,0.37,0.41,0.42,0.36
sbml.csv,0.41,0.35,0.41,0.4,0.32,0.38,0.4,0.36
