,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,gogoego.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,snakeyaml.csv,impala.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.2,0.2,0.0,0.37,0.32,0.43,0.42,0.38,0.93,0.98,0.61,0.54,0.33,0.53,0.98,1.0,0.21,0.92
baadengine.csv,0.2,0.83,0.75,0.68,0.33,1.0,0.77,0.43,0.66,0.98,0.93,0.29,0.9,0.56,0.98,1.0,0.63,0.62
bibedt.csv,0.05,0.46,0.75,0.53,0.48,0.37,0.31,0.02,0.93,0.9,0.12,0.3,0.45,0.42,0.52,0.4,0.26,0.46
chaosrts.csv,0.9,0.35,0.75,0.39,0.49,1.0,0.44,0.53,0.98,0.46,0.83,0.21,0.63,0.33,0.65,1.0,0.16,0.54
dataobjectsdotnet.csv,0.85,0.92,1.0,0.49,0.25,0.84,0.63,0.96,0.71,0.58,0.61,0.86,0.65,0.43,0.89,0.0,0.26,1.0
exl.csv,0.23,0.62,0.75,0.76,0.79,0.26,0.69,0.55,0.44,0.21,0.46,0.7,0.62,0.64,0.17,0.0,0.84,0.23
gnome-jabber.csv,0.13,0.43,0.5,0.54,0.16,0.38,0.48,0.83,0.52,0.79,0.66,0.36,0.4,0.41,0.61,0.2,0.53,0.31
gogoego.csv,0.19,0.32,1.0,0.43,0.98,0.71,0.32,0.62,0.35,0.33,0.41,0.6,0.68,0.31,0.09,0.4,0.95,0.08
httpcontentparser.csv,0.37,0.46,0.25,0.35,0.11,0.06,0.44,0.02,0.25,0.73,0.37,0.79,0.42,0.41,0.35,0.0,0.42,0.38
impala.csv,0.14,0.51,0.0,0.35,0.4,0.24,0.52,0.19,0.64,0.46,0.41,0.09,0.26,0.18,0.3,0.8,0.42,0.31
jaxlib.csv,0.16,0.4,0.25,0.75,0.6,0.15,0.56,0.72,0.51,0.02,0.24,0.12,0.37,0.31,0.26,0.0,0.58,0.46
jgameai.csv,0.0,0.52,0.0,0.17,0.29,1.0,0.28,0.13,0.42,0.17,1.0,0.04,0.34,0.19,0.0,0.6,0.0,0.0
loki-lib.csv,0.09,0.35,0.25,0.76,0.59,0.94,0.42,0.47,0.43,0.58,0.41,0.07,0.44,0.38,0.37,1.0,0.11,0.08
patterntesting.csv,0.95,0.97,1.0,0.96,0.94,0.76,0.98,0.28,0.98,0.96,0.95,0.97,0.78,0.86,0.85,0.2,0.95,1.0
snakeyaml.csv,0.5,0.43,0.75,0.37,0.29,0.29,0.36,0.21,0.28,0.54,0.24,0.18,0.3,0.26,0.07,0.2,0.21,0.08
werx.csv,0.99,0.88,0.0,1.0,0.98,1.0,0.94,1.0,0.99,1.0,1.0,0.99,0.96,1.0,1.0,1.0,1.0,0.62
zealos.csv,0.01,0.11,0.0,0.22,0.06,0.41,0.05,0.09,0.01,0.23,0.07,0.0,0.02,0.05,0.02,0.0,0.11,0.0
