,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.45,0.66,0.51,0.62,0.46,0.76,0.88,0.23,0.31,0.18,0.19,0.08,0.65,0.19
cme.csv,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.16,0.91
hydrate.csv,0.77,0.86,0.66,0.59,0.51,0.24,0.6,0.5,0.37,0.45,0.22,0.47,0.7,0.19
ivef-sdk.csv,0.73,0.73,0.57,0.81,0.37,1.0,0.25,0.09,0.42,0.61,0.0,0.66,0.0,0.2
jmri.csv,0.56,0.4,0.66,0.24,0.11,0.72,0.49,0.45,0.53,0.43,0.33,0.53,0.36,0.17
jython.csv,0.72,0.64,0.43,0.76,0.29,0.82,0.65,0.58,0.46,0.25,0.23,0.49,0.62,0.17
kdenlive.csv,0.79,0.71,0.53,0.41,0.5,0.44,0.39,0.22,0.53,0.47,0.26,0.65,0.79,0.23
opentibia.csv,0.49,0.88,0.46,0.49,0.4,0.06,0.61,0.41,0.11,0.0,0.25,0.43,0.72,0.0
projectfactory.csv,0.2,0.25,0.45,0.12,0.48,0.11,0.5,0.23,0.4,0.56,0.28,0.4,0.71,0.25
runuomondains.csv,0.56,0.47,0.66,0.22,0.32,0.19,0.5,0.48,0.53,0.56,0.44,0.55,0.52,0.15
somap.csv,0.76,0.9,0.56,0.76,0.53,0.58,0.63,0.21,0.41,0.55,0.23,0.91,0.78,0.2
taverna.csv,0.34,0.33,0.07,0.24,0.7,0.18,0.4,0.21,0.27,0.51,0.2,0.18,0.06,0.0
unbvision.csv,0.71,0.53,0.49,0.27,0.23,0.17,0.53,0.23,0.64,0.46,0.26,0.47,0.75,0.2
x-ray-mule.csv,0.26,0.27,0.16,0.82,0.38,0.0,0.0,0.08,0.29,0.57,0.0,0.6,0.11,0.33
