,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.81,0.78,0.57,0.95,0.48,0.54,0.74,0.26,0.78,0.8,0.45,0.67,0.5,0.62
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.75,0.0,0.8,0.83
hydrate.csv,0.39,0.39,0.38,0.42,0.39,0.6,0.47,0.97,0.44,0.47,0.55,0.56,0.4,0.35
ivef-sdk.csv,0.44,0.48,0.63,0.48,0.58,0.61,0.7,0.0,0.47,0.48,0.75,0.57,0.0,0.53
jmri.csv,0.52,0.59,0.54,0.64,0.61,0.82,0.54,0.96,0.7,0.65,0.75,0.59,0.75,0.38
jython.csv,0.47,0.6,0.86,0.5,0.56,0.48,0.42,0.98,0.72,0.89,0.5,0.76,0.49,0.41
kdenlive.csv,0.34,0.4,0.39,0.34,0.33,0.48,0.52,0.26,0.42,0.44,0.39,0.37,0.33,0.33
opentibia.csv,0.56,0.45,0.63,0.68,0.47,0.67,0.48,0.89,0.83,0.5,0.55,0.6,0.38,0.67
projectfactory.csv,0.91,0.92,0.61,0.75,0.59,0.88,0.61,0.26,0.42,0.59,0.57,0.68,0.44,0.44
runuomondains.csv,0.46,0.46,0.45,0.47,0.43,0.43,0.49,0.89,0.53,0.4,0.68,0.52,0.52,0.49
somap.csv,0.42,0.45,0.39,0.43,0.4,0.47,0.5,0.26,0.49,0.42,0.43,0.38,0.37,0.38
taverna.csv,0.75,0.63,0.96,0.42,0.73,0.83,0.89,0.83,0.8,0.51,0.5,0.86,0.0,0.8
unbvision.csv,0.43,0.49,0.43,0.43,0.5,0.44,0.54,0.26,0.57,0.5,0.46,0.59,0.34,0.36
x-ray-mule.csv,0.9,0.93,0.98,0.65,0.68,0.0,0.89,0.5,0.59,0.51,0.0,0.68,0.67,0.86
