,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.41,0.54,0.51,0.53,0.78,0.82,0.85,1.0,0.53,0.1,0.88,0.04,0.7,0.6
cme.csv,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.09,1.0
hydrate.csv,0.83,0.8,0.93,0.6,1.0,0.16,0.76,0.59,0.53,0.44,0.5,0.32,0.67,1.0
ivef-sdk.csv,0.82,0.6,0.63,1.0,0.52,1.0,0.24,0.05,0.87,0.79,0.0,0.53,0.0,0.8
jmri.csv,0.41,0.25,0.67,0.17,0.11,0.57,0.52,0.5,0.53,0.36,0.5,0.38,0.24,1.0
jython.csv,0.76,0.51,0.33,0.93,0.41,0.94,0.97,0.86,0.67,0.15,0.88,0.33,0.64,1.0
kdenlive.csv,0.75,0.59,0.53,0.4,0.67,0.39,0.33,0.95,0.97,0.44,1.0,0.5,0.94,1.0
opentibia.csv,0.38,0.82,0.42,0.4,0.48,0.03,0.79,0.64,0.07,0.0,0.75,0.28,0.79,0.0
projectfactory.csv,0.11,0.14,0.4,0.07,0.48,0.06,0.48,1.0,0.57,0.56,0.62,0.25,0.7,0.8
runuomondains.csv,0.44,0.31,0.79,0.17,0.37,0.15,0.61,0.73,0.57,0.74,0.75,0.39,0.42,0.6
somap.csv,0.94,0.93,0.74,0.97,1.0,0.6,0.85,0.91,1.0,0.72,1.0,0.83,1.0,1.0
taverna.csv,0.21,0.2,0.04,0.17,0.74,0.1,0.36,0.14,0.2,0.54,0.12,0.1,0.03,0.0
unbvision.csv,0.63,0.37,0.47,0.23,0.22,0.13,0.55,1.0,0.77,0.38,1.0,0.31,0.88,1.0
x-ray-mule.csv,0.17,0.16,0.1,0.83,0.48,0.0,0.0,0.05,0.57,0.72,0.0,0.43,0.06,0.4
