,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.42,0.06,0.5,0.0,0.84,0.85,0.48,0.3,0.48,0.5
chaperon.csv,0.32,0.22,0.35,1.0,0.34,0.38,0.25,0.12,0.53,0.48
geotools.csv,0.75,0.73,0.78,0.25,0.98,0.77,0.61,0.85,0.29,0.68
l2j.csv,0.75,0.61,0.3,0.75,0.21,0.54,0.45,0.88,0.74,0.68
mule.csv,0.68,0.1,0.25,0.5,0.64,0.58,0.47,0.42,0.26,0.78
nunit.csv,0.34,0.59,0.22,0.5,0.46,0.27,0.32,0.55,0.37,0.68
primefaces.csv,0.93,0.88,1.0,0.75,0.62,0.92,0.74,0.82,0.54,0.7
springside.csv,0.8,0.78,0.42,0.75,0.62,0.92,0.93,0.82,0.39,0.88
swtfox.csv,0.9,0.94,0.62,1.0,0.32,0.12,0.68,0.95,0.72,0.5
twostep.csv,0.9,0.88,0.52,0.75,0.64,0.81,0.75,0.32,0.52,0.75
