,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.27,0.04,0.83,0.21,0.0,0.38,0.28,0.44,0.53,0.3
chaperon.csv,0.29,0.16,0.42,0.1,0.75,0.2,0.19,0.11,0.24,0.34
geotools.csv,0.6,0.48,0.82,0.58,1.0,0.56,0.29,0.7,0.17,0.63
l2j.csv,0.6,0.52,0.23,0.48,0.25,0.13,0.51,0.96,0.46,0.53
mule.csv,0.4,0.06,0.31,0.21,0.0,0.24,0.42,0.33,0.12,0.38
nunit.csv,0.17,0.18,0.49,0.23,0.5,0.31,0.27,0.56,0.32,0.31
primefaces.csv,0.9,0.77,1.0,0.58,0.75,1.0,0.62,0.22,0.39,0.67
springside.csv,0.66,0.28,0.51,0.69,0.25,0.49,0.67,0.78,0.16,0.49
swtfox.csv,0.93,0.93,0.25,0.88,0.75,0.11,0.79,0.93,0.76,0.69
twostep.csv,0.81,0.53,0.66,0.52,0.0,0.18,0.63,0.15,0.38,0.5
