,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.71,0.43,0.27,0.0,1.0,0.56,0.41,0.5,0.7,0.31
chaperon.csv,0.63,0.42,0.34,0.44,0.86,0.53,0.34,0.62,0.85,0.27
geotools.csv,0.66,0.44,0.37,0.03,0.93,0.44,0.46,0.64,0.81,0.22
l2j.csv,0.66,0.38,0.44,0.12,0.92,0.7,0.26,0.57,0.8,0.25
mule.csv,0.72,0.45,0.33,0.17,1.0,0.58,0.31,0.65,0.85,0.35
nunit.csv,0.75,0.63,0.22,0.15,0.93,0.33,0.32,0.59,0.75,0.36
primefaces.csv,0.61,0.37,0.38,0.1,0.92,0.35,0.32,0.85,0.78,0.22
springside.csv,0.65,0.58,0.34,0.08,0.97,0.52,0.36,0.61,0.87,0.32
swtfox.csv,0.6,0.34,0.61,0.09,0.86,0.38,0.26,0.6,0.71,0.16
twostep.csv,0.63,0.46,0.33,0.11,1.0,0.72,0.32,0.76,0.78,0.28
