,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.48,0.86,0.35,0.7,0.45,0.33,0.47,0.46,0.42,0.57
chaperon.csv,0.79,0.96,0.66,0.89,0.68,0.58,0.81,0.88,0.61,0.58
geotools.csv,0.36,0.48,0.35,0.48,0.42,0.42,0.46,0.32,0.6,0.41
l2j.csv,0.43,0.69,0.7,0.65,0.69,0.5,0.55,0.36,0.47,0.43
mule.csv,0.41,0.91,0.6,0.5,0.36,0.38,0.42,0.5,0.65,0.48
nunit.csv,0.62,0.57,0.49,0.69,0.68,0.57,0.61,0.41,0.57,0.59
primefaces.csv,0.38,0.5,0.36,0.39,0.39,0.42,0.36,0.44,0.49,0.34
springside.csv,0.35,0.46,0.4,0.39,0.36,0.33,0.34,0.3,0.54,0.42
swtfox.csv,0.42,0.49,0.8,0.46,0.76,0.88,0.54,0.35,0.53,0.52
twostep.csv,0.37,0.46,0.41,0.43,0.36,0.41,0.39,0.65,0.46,0.42
