,wgs-assembler.csv,nh3d.csv,jvcl.csv,blogentis.csv,m-m-m.csv,htmlunit.csv,emulemorph.csv
blogentis.csv,0.5,0.65,0.42,0.75,0.36,0.63,0.33
emulemorph.csv,0.21,0.29,0.54,0.56,0.0,0.07,0.81
htmlunit.csv,0.51,0.28,0.71,0.53,0.22,0.69,0.65
jvcl.csv,0.12,0.56,0.59,0.59,0.1,0.25,0.53
m-m-m.csv,0.47,0.65,0.41,0.33,0.76,0.34,0.19
nh3d.csv,0.56,1.0,0.0,0.0,0.0,0.33,0.0
wgs-assembler.csv,0.56,0.48,0.24,0.55,0.1,0.55,0.61
