,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.62,0.58,0.46,0.63,0.56,0.45,0.61,0.53,0.49,0.51,0.63
libtorrent.csv,0.48,0.45,0.39,0.57,0.37,0.37,0.46,0.59,0.38,0.32,0.43
mcmc-jags.csv,0.4,0.47,0.49,0.58,0.39,0.41,0.45,0.49,0.38,0.33,0.38
natpad.csv,0.38,0.42,0.4,0.52,0.33,0.45,0.43,0.44,0.75,0.36,0.41
nebuladevice.csv,0.65,0.57,0.0,0.47,0.83,0.81,0.94,0.98,0.65,0.41,0.75
olap-navigator.csv,0.6,0.53,0.49,0.62,0.46,0.61,0.59,0.5,0.59,0.37,0.76
pidgin.csv,0.47,0.38,0.43,0.88,0.33,0.54,0.51,0.53,0.73,0.36,0.43
salasaga.csv,0.38,0.36,0.55,0.5,0.36,0.49,0.44,0.38,0.83,0.35,0.39
sepgsql.csv,0.65,0.4,0.53,0.8,0.4,0.56,0.5,0.55,0.75,0.41,0.44
xstore.csv,0.38,0.45,0.4,0.6,0.36,0.5,0.43,0.42,0.58,0.33,0.42
xtreemfs.csv,0.47,0.46,0.49,0.7,0.38,0.44,0.47,0.53,0.94,0.37,0.49
