,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.54,0.83,0.05,0.32,0.6,0.76,0.56,0.25,0.23,0.52,0.38
libtorrent.csv,0.83,0.41,0.12,0.44,0.85,0.82,0.66,0.24,0.37,0.9,0.56
mcmc-jags.csv,0.63,0.5,0.1,0.71,0.75,0.78,0.73,0.32,0.27,0.89,0.63
natpad.csv,0.65,0.54,0.1,0.42,0.78,0.64,0.71,0.34,0.31,0.88,0.68
nebuladevice.csv,0.66,0.19,0.0,0.34,0.06,0.42,0.25,0.13,0.44,0.84,0.0
olap-navigator.csv,0.88,0.41,0.16,0.52,0.69,0.51,0.59,0.33,0.43,0.9,0.4
pidgin.csv,0.6,0.47,0.1,0.43,0.8,0.56,0.65,0.26,0.27,0.89,0.65
salasaga.csv,0.59,0.55,0.1,0.45,0.76,0.59,0.7,0.41,0.18,0.9,0.64
sepgsql.csv,0.69,0.51,0.2,0.4,0.75,0.52,0.57,0.33,0.11,0.87,0.6
xstore.csv,0.59,0.38,0.1,0.56,0.84,0.56,0.69,0.35,0.3,0.92,0.59
xtreemfs.csv,0.81,0.5,0.1,0.44,0.82,0.69,0.71,0.29,0.13,0.91,0.62
