,logicmail.csv,taverna.csv,javagroups.csv,jrefactory.csv,freenet.csv,nodal.csv,soar.csv,web-cat.csv
freenet.csv,0.97,0.74,0.98,0.88,0.72,0.91,0.35,0.89
javagroups.csv,1.0,0.19,0.72,0.73,0.77,1.0,0.23,0.84
jrefactory.csv,0.88,0.0,0.43,0.71,0.54,0.96,0.87,0.89
logicmail.csv,0.85,0.89,1.0,0.96,0.97,0.96,0.13,0.79
nodal.csv,0.97,0.19,0.77,0.45,0.57,0.65,0.1,0.79
soar.csv,0.97,0.59,0.79,0.96,0.92,1.0,0.61,0.84
taverna.csv,0.45,0.74,0.32,0.14,0.53,0.65,0.48,0.21
web-cat.csv,0.82,0.81,0.89,0.71,0.83,0.91,0.9,0.84
