,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.62,0.46,0.83,0.6,0.68,0.43,0.09,0.86,0.71,0.98,0.93,0.96,0.91,1.0
cme.csv,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.0
hydrate.csv,0.99,0.91,0.88,1.0,0.89,1.03,1.0,0.39,0.97,0.93,0.54,0.88,0.06,1.03
ivef-sdk.csv,0.61,0.48,0.71,0.65,0.76,0.0,0.7,1.0,0.77,0.78,1.0,1.09,0.97,0.67
jmri.csv,0.56,0.63,0.02,0.72,0.84,0.78,0.87,0.78,0.57,0.82,0.52,1.06,0.8,0.63
jython.csv,0.53,0.6,0.53,0.92,0.82,0.71,0.88,0.05,0.81,0.77,0.69,1.02,0.7,0.79
kdenlive.csv,0.03,0.51,0.67,0.97,0.67,0.93,0.8,0.92,0.42,0.62,0.69,0.67,0.63,0.63
opentibia.csv,0.93,0.08,0.8,1.0,0.65,0.25,0.52,0.99,0.85,0.79,0.88,0.71,0.95,0.87
projectfactory.csv,0.76,0.71,0.74,0.75,0.63,0.93,0.66,0.14,0.84,0.03,0.58,0.69,0.66,0.73
runuomondains.csv,0.94,0.96,0.94,1.02,0.97,1.0,1.0,0.73,0.97,0.95,0.12,0.96,0.85,1.02
somap.csv,1.0,1.0,0.98,1.0,0.94,1.0,0.91,1.0,1.0,0.91,1.0,0.01,1.0,1.01
taverna.csv,0.69,0.78,0.88,0.83,0.11,0.94,0.31,0.91,0.78,0.69,0.88,0.96,0.97,1.06
unbvision.csv,0.76,0.75,0.89,0.83,0.95,0.18,0.83,0.95,0.07,0.8,0.67,0.68,0.82,0.7
x-ray-mule.csv,0.66,0.73,0.73,0.03,0.75,1.04,0.88,0.82,0.92,0.74,0.79,0.99,0.74,0.68
