,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.59,0.61,0.18,0.93,0.37,0.57,0.91,0.14,0.63,0.03,0.12,0.04,0.09,0.0
cme.csv,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0
hydrate.csv,0.01,0.1,0.13,0.0,0.11,0.01,0.0,0.68,0.03,0.08,0.88,0.12,0.97,0.0
ivef-sdk.csv,0.76,0.59,0.58,1.0,0.7,1.0,0.85,0.0,0.83,0.77,0.0,0.57,0.03,0.8
jmri.csv,0.46,0.37,0.98,0.37,0.3,0.55,0.3,0.23,0.57,0.31,0.62,0.35,0.24,1.0
jython.csv,0.69,0.57,0.62,0.27,0.74,0.88,0.48,0.95,0.93,0.74,0.5,0.81,0.55,1.0
kdenlive.csv,0.99,0.71,0.44,0.23,0.59,0.07,0.21,1.0,0.83,0.62,0.75,0.33,0.76,0.6
opentibia.csv,0.9,1.0,0.7,1.0,0.81,0.91,0.91,0.95,0.97,0.59,0.62,0.75,0.94,0.4
projectfactory.csv,0.27,0.37,0.29,0.27,0.63,0.76,0.73,0.95,0.97,0.97,0.62,0.33,0.82,1.0
runuomondains.csv,0.06,0.04,0.06,0.0,0.04,0.0,0.0,0.27,0.03,0.05,0.88,0.04,0.15,0.0
somap.csv,1.0,1.0,0.96,1.0,0.96,1.0,1.0,1.0,1.0,0.97,1.0,0.99,1.0,0.6
taverna.csv,0.45,0.22,0.13,0.17,0.89,0.06,0.7,0.09,0.23,0.41,0.12,0.06,0.03,0.0
unbvision.csv,0.69,0.33,0.87,0.3,0.07,0.93,0.3,0.86,0.93,0.77,0.38,0.54,0.18,0.8
x-ray-mule.csv,0.41,0.29,0.4,0.97,0.37,0.07,0.21,0.18,0.57,0.54,0.25,0.46,0.39,0.4
