,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.33,0.35,0.07,0.95,0.52,0.21,0.08,0.47,0.33,0.31
arsenal-1.csv,0.62,0.43,1.0,0.68,0.36,0.38,0.36,0.6,0.21,0.11
barracudamvc.csv,1.0,0.78,0.78,0.64,1.0,0.84,0.72,1.0,1.0,0.71
irplus.csv,0.48,0.57,0.44,0.55,0.48,0.28,1.0,0.73,0.31,0.46
lite.csv,0.12,0.09,0.04,0.14,0.32,0.13,0.2,1.0,0.1,0.11
mumble.csv,0.24,0.48,0.3,0.45,1.0,0.16,0.2,0.4,0.14,0.34
ontopia.csv,0.36,0.74,1.0,0.77,0.88,0.97,0.76,0.47,0.86,0.69
openintents.csv,0.32,1.0,0.56,0.55,0.32,0.32,0.56,0.33,0.17,0.23
ta3d.csv,0.87,0.78,1.0,0.91,0.76,0.83,0.84,0.73,0.81,0.97
tweetsharp.csv,0.52,0.57,0.85,0.77,0.76,0.22,0.44,0.8,1.0,0.8
