,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.37,0.39,0.09,0.96,0.56,0.24,0.1,0.5,0.37,0.35
arsenal-1.csv,0.58,0.43,1.0,0.65,0.41,0.41,0.4,0.57,0.24,0.13
barracudamvc.csv,0.99,0.57,0.63,0.52,0.09,0.66,0.52,0.09,0.0,0.56
irplus.csv,0.47,0.58,0.44,0.55,0.52,0.31,1.0,0.71,0.35,0.49
lite.csv,0.14,0.11,0.05,0.17,0.37,0.16,0.24,1.0,0.12,0.13
mumble.csv,0.28,0.51,0.34,0.49,1.0,0.19,0.24,0.43,0.17,0.38
ontopia.csv,0.39,0.67,0.0,0.39,0.65,0.98,0.54,0.5,0.26,0.62
openintents.csv,0.36,1.0,0.57,0.59,0.36,0.36,0.58,0.36,0.2,0.26
ta3d.csv,0.2,0.47,0.13,0.52,0.64,0.42,0.36,0.48,0.58,0.96
tweetsharp.csv,0.54,0.58,0.4,0.58,0.42,0.26,0.47,0.46,1.0,0.56
