,empyrean.csv,amanda.csv,nutz.csv,impala.csv,multitude.csv,pi-qmc.csv
amanda.csv,0.58,0.69,0.35,0.55,0.64,0.67
empyrean.csv,0.72,0.0,0.0,0.0,0.0,0.11
impala.csv,0.53,0.26,0.13,0.56,0.53,0.33
multitude.csv,0.53,0.57,0.46,0.27,0.71,0.75
nutz.csv,0.56,0.44,0.74,0.43,0.37,0.32
pi-qmc.csv,0.52,0.56,0.65,0.52,0.53,0.85
