,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv,pixel-commandos.csv,xmoto.csv
ardour.csv,193.5,198.0,99.0,2042.0,91.5,289.5,94.5,1811.5,294.5,96.5,96.5,64.5,99.0,97.5,98.5,97.5,99.0,281.5,98.5,97.5
cornerstone.csv,166.0,588.5,339.5,293.0,97.5,99.0,139.5,92.5,78.5,0.0,98.5,328.0,98.5,97.5,91.5,89.5,99.0,281.5,97.5,157.0
emeraldemu.csv,194.5,99.0,198.0,5605.0,91.5,99.0,94.5,757.5,185.0,96.5,96.5,39.5,97.5,81.5,95.5,28.5,99.0,79.5,97.5,97.5
grafx2.csv,293.5,99.0,198.0,2928.5,97.5,99.0,97.5,1140.0,482.5,96.5,96.5,457.0,97.5,97.5,98.5,97.5,99.0,281.5,98.5,97.5
jahshakafx.csv,194.5,198.0,198.0,2715.5,91.5,98.5,94.5,2216.5,663.5,96.5,96.5,62.5,99.0,97.5,98.5,89.5,99.0,281.5,98.5,97.5
kindb.csv,194.5,495.0,99.0,3346.5,91.5,99.0,97.5,1822.0,690.0,96.5,99.0,154.0,99.0,97.5,98.5,97.5,99.0,79.5,98.5,97.5
maya-work-in-progress.csv,2346.5,99.0,198.0,852.5,97.5,99.0,92.5,1427.0,492.0,96.5,99.0,776.0,99.0,97.5,98.5,97.5,99.0,380.5,97.5,95.5
netatalk.csv,2249.0,297.0,198.0,9433.5,97.5,99.0,97.5,1152.5,394.0,96.5,99.0,93.5,99.0,97.5,97.5,183.0,99.0,281.5,97.5,97.5
novembre.csv,94.5,396.0,289.5,2412.0,94.5,98.5,97.5,736.0,196.5,96.5,96.5,550.5,85.5,97.5,98.5,97.5,99.0,281.5,98.5,92.5
ns-3.csv,2248.5,198.0,586.5,1866.5,97.5,99.0,97.5,1921.5,196.0,96.5,98.5,1168.5,99.0,97.5,97.5,97.5,99.0,380.5,97.5,97.5
nullc.csv,447.5,297.0,198.0,9265.5,97.5,99.0,94.5,379.0,394.0,96.5,99.0,676.0,99.0,97.5,98.5,97.5,99.0,216.5,97.5,97.5
open-beos.csv,194.5,198.0,198.0,4608.0,97.5,98.5,94.5,756.5,379.0,96.5,186.0,775.5,98.5,97.5,95.5,97.5,99.0,281.5,98.5,97.5
pixel-commandos.csv,153.0,198.0,198.0,5546.5,74.5,169.0,94.5,268.5,376.0,96.5,91.5,36.0,98.5,192.0,88.5,52.5,95.5,146.0,98.5,92.5
planeshift.csv,4400.5,297.0,198.0,9981.5,97.5,99.0,97.5,2599.5,97.5,96.5,98.5,774.0,99.0,97.5,98.5,97.5,99.0,380.5,97.5,97.5
plee-the-bear.csv,95.5,99.0,99.0,471.0,97.5,98.5,97.5,2683.0,393.0,96.5,97.5,189.0,98.5,97.5,98.5,97.5,99.0,281.5,97.5,95.5
reaper-ecad.csv,166.0,297.0,99.0,1598.0,97.5,80.5,89.5,368.0,185.0,96.5,91.5,0.0,97.5,81.5,88.5,52.5,97.5,59.5,72.5,65.5
sbml.csv,391.0,99.0,198.0,5320.0,97.5,99.0,97.5,2402.0,97.5,96.5,98.5,577.5,98.5,97.5,97.5,97.5,99.0,281.5,98.5,97.5
unimrcp.csv,2445.5,198.0,198.0,4163.5,97.5,99.0,97.5,279.5,386.0,96.5,99.0,93.5,196.0,97.5,95.5,89.5,99.0,82.5,97.5,97.5
unladen-swallow.csv,238.5,99.0,292.5,255.0,91.5,288.5,97.5,1438.0,97.5,96.5,186.0,93.5,192.0,97.5,95.5,183.0,99.0,281.5,454.5,95.5
xmoto.csv,662.0,198.0,198.0,211.5,97.5,99.0,97.5,3398.5,196.5,96.5,98.5,730.5,98.5,97.5,98.5,97.5,99.0,380.5,97.5,97.5
