,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.79,0.82,0.92,0.75,0.88,0.67,0.98,0.96,0.99,0.94
ivatamasks.csv,0.4,0.38,0.44,0.44,0.52,0.53,0.52,0.47,0.44,0.46
orc.csv,0.83,0.67,0.93,0.88,0.63,0.45,0.97,0.98,0.82,0.86
plato.csv,0.43,0.49,0.34,0.47,0.47,0.45,0.45,0.46,0.41,0.5
rodin-b-sharp.csv,0.61,0.68,0.94,0.73,0.95,0.7,0.69,0.97,0.76,0.99
umber.csv,0.58,0.81,0.67,0.65,0.95,0.67,0.6,0.96,0.99,0.9
unicase.csv,0.5,0.39,0.44,0.49,0.71,0.47,0.45,0.47,0.44,0.42
uwom.csv,0.55,0.96,0.96,0.63,0.63,0.55,0.52,0.73,0.67,0.83
vienna-add-in.csv,0.45,0.41,0.31,0.44,0.52,0.37,0.44,0.45,0.47,0.46
wpdev.csv,0.34,0.39,0.29,0.43,0.4,0.36,0.38,0.4,0.39,0.39
