,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.37,0.8,0.69,0.96,0.9,0.87,0.85,0.11,0.86,0.95
ivatamasks.csv,0.52,0.73,0.64,0.02,0.63,0.81,0.68,0.68,0.66,0.56
orc.csv,1.03,0.98,0.06,0.93,0.89,1.01,0.77,0.73,0.77,0.98
plato.csv,1.09,1.03,0.94,0.99,0.96,0.0,0.77,0.77,0.88,0.81
rodin-b-sharp.csv,0.5,0.46,0.94,0.7,0.85,0.8,0.03,0.74,0.76,0.91
umber.csv,0.0,0.69,0.62,0.7,0.81,0.88,0.69,0.83,0.84,0.72
unicase.csv,0.9,0.51,0.62,0.69,0.69,0.86,0.6,0.62,0.02,0.63
uwom.csv,0.72,0.8,0.64,0.62,0.81,1.1,0.74,0.56,0.76,0.06
vienna-add-in.csv,0.44,0.51,0.93,0.98,0.02,0.81,0.66,0.74,0.76,0.91
wpdev.csv,1.0,0.0,1.0,1.0,1.0,0.88,1.0,0.99,1.0,0.95
