,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.81,0.79,0.69,0.75,0.68,0.59,0.6,0.76,0.72,0.79,0.18,1.0
factor.csv,0.93,0.74,0.82,0.92,0.74,0.73,0.83,0.93,0.71,0.92,0.2,0.18
fceugc.csv,0.78,0.65,0.71,0.5,0.68,0.84,0.58,0.88,0.99,0.99,0.98,0.32
flexpay.csv,1.0,1.0,0.99,1.0,1.0,0.9,1.0,0.72,1.0,1.0,1.0,1.0
jstock.csv,0.98,0.59,0.77,0.77,0.87,0.77,0.73,0.47,0.96,0.86,1.0,0.61
keyczar.csv,0.81,0.89,0.81,0.71,0.99,0.97,0.86,0.97,0.75,0.54,0.35,0.92
modellus.csv,0.85,0.52,0.65,0.81,0.49,0.31,0.43,0.63,0.62,0.84,0.95,0.95
open-data-kit.csv,0.85,0.78,0.93,0.98,0.38,0.84,0.31,0.53,0.91,0.52,0.84,0.87
phet.csv,0.78,0.85,0.95,0.89,1.08,0.99,0.95,0.64,0.91,0.94,0.68,0.7
qtractor.csv,0.87,0.41,0.6,0.65,0.48,0.46,0.59,0.64,0.72,0.88,0.88,0.98
sumatrapdf.csv,0.9,0.57,0.94,0.82,0.29,0.63,0.87,0.58,0.79,0.62,1.06,0.7
synergyspace.csv,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0
