,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.42,0.52,0.57,0.37,0.45,0.69,0.63,0.57,0.44,0.46,0.91,0.02
factor.csv,0.09,0.33,0.28,0.12,0.3,0.35,0.21,0.1,0.54,0.1,0.88,0.92
fceugc.csv,0.3,0.41,0.37,0.56,0.37,0.23,0.51,0.18,0.05,0.02,0.02,0.75
flexpay.csv,0.0,0.0,0.01,0.0,0.0,0.12,0.0,0.35,0.0,0.0,0.0,0.0
jstock.csv,0.04,0.5,0.31,0.28,0.16,0.27,0.33,0.59,0.05,0.18,0.0,0.44
keyczar.csv,0.32,0.34,0.26,0.41,0.29,0.14,0.23,0.18,0.41,0.78,0.85,0.2
modellus.csv,0.35,0.55,0.54,0.23,0.57,0.79,0.75,0.43,0.46,0.22,0.06,0.06
open-data-kit.csv,0.47,0.55,0.29,0.09,0.75,0.48,0.83,0.82,0.38,0.55,0.49,0.43
phet.csv,0.26,0.42,0.07,0.31,0.15,0.12,0.35,0.54,0.26,0.27,0.65,0.5
qtractor.csv,0.32,0.71,0.51,0.42,0.61,0.62,0.5,0.49,0.39,0.15,0.17,0.06
sumatrapdf.csv,0.39,0.71,0.24,0.53,0.76,0.7,0.44,0.78,0.54,0.63,0.08,0.65
synergyspace.csv,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
