,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.42,0.64,0.62,0.33,0.42,0.81,0.67,0.77,0.42,0.48,0.93,0.02
factor.csv,0.07,0.29,0.24,0.1,0.26,0.31,0.18,0.08,0.58,0.08,0.89,0.95
fceugc.csv,0.26,0.36,0.33,0.52,0.32,0.2,0.47,0.15,0.04,0.02,0.02,0.73
flexpay.csv,0.0,0.0,0.01,0.0,0.0,0.1,0.0,0.31,0.0,0.0,0.0,0.0
jstock.csv,0.03,0.46,0.27,0.24,0.13,0.23,0.28,0.54,0.04,0.15,0.0,0.39
keyczar.csv,0.28,0.32,0.22,0.38,0.29,0.12,0.2,0.15,0.38,0.94,0.91,0.17
modellus.csv,0.33,0.5,0.53,0.19,0.52,0.79,0.78,0.38,0.42,0.19,0.05,0.05
open-data-kit.csv,0.7,0.79,0.89,1.0,0.77,0.94,0.86,1.0,0.73,0.5,0.91,1.0
phet.csv,0.22,0.43,0.06,0.29,0.13,0.1,0.37,0.54,0.23,0.92,0.86,0.49
qtractor.csv,0.29,0.71,0.47,0.38,0.58,0.59,0.46,0.46,0.35,0.12,0.14,0.05
sumatrapdf.csv,0.8,0.82,0.98,0.95,0.74,0.88,0.95,1.0,0.73,0.69,0.07,0.93
synergyspace.csv,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
