,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.23,0.38,0.25,0.23,0.23,0.26,0.29,0.27,0.19,0.37,0.26,0.33
factor.csv,0.31,0.19,0.21,0.36,0.3,0.2,0.27,0.29,0.31,0.35,0.28,0.34
fceugc.csv,0.3,0.17,0.23,0.19,0.14,0.24,0.24,0.18,0.29,0.33,0.28,0.27
flexpay.csv,0.35,0.4,0.38,0.39,0.34,0.34,0.38,0.14,0.45,0.43,0.3,0.41
jstock.csv,0.24,0.17,0.19,0.22,0.3,0.19,0.17,0.16,0.4,0.19,0.3,0.17
keyczar.csv,0.17,0.25,0.18,0.17,0.26,0.19,0.17,0.2,0.2,0.35,0.26,0.17
modellus.csv,0.25,0.21,0.23,0.36,0.19,0.23,0.25,0.14,0.19,0.14,0.24,0.36
open-data-kit.csv,0.3,0.29,0.37,0.38,0.23,0.34,0.3,0.29,0.41,0.17,0.3,0.41
phet.csv,0.36,0.35,0.38,0.31,0.28,0.29,0.35,0.29,0.38,0.41,0.3,0.38
qtractor.csv,0.18,0.21,0.16,0.19,0.19,0.17,0.17,0.16,0.14,0.24,0.1,0.19
sumatrapdf.csv,0.34,0.29,0.38,0.31,0.21,0.33,0.36,0.29,0.41,0.3,0.2,0.34
synergyspace.csv,0.36,0.4,0.36,0.39,0.34,0.37,0.38,0.32,0.45,0.43,0.3,0.41
