,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.22,0.5,0.37,0.82,0.39,0.39,0.61,0.16,0.84,0.25,0.81,0.53,0.59,0.09
elateportal.csv,0.09,0.48,0.41,0.76,0.51,0.26,0.55,0.22,0.46,0.22,0.28,0.56,0.46,0.98
gdis.csv,0.54,0.47,0.38,0.74,0.37,0.41,0.51,0.21,0.67,0.19,0.88,0.4,0.58,0.09
gzigzag.csv,0.44,0.42,0.41,0.61,0.36,0.43,0.06,0.33,0.58,0.28,0.22,0.13,0.49,0.94
icescrum.csv,0.64,0.54,0.4,0.49,0.48,0.45,0.24,0.0,0.38,0.27,0.64,0.33,0.78,0.08
jguard.csv,0.22,0.36,0.4,0.57,0.61,0.42,0.69,0.23,0.73,0.27,0.92,0.57,0.52,0.91
jitterbit.csv,0.25,0.61,0.45,0.79,0.46,0.59,0.68,0.13,0.83,0.29,0.71,0.17,0.52,0.16
jython.csv,0.58,0.39,0.28,0.58,0.23,0.35,0.59,0.13,0.57,0.1,0.26,0.4,0.17,0.09
personalaccess.csv,0.16,0.37,0.4,0.61,0.43,0.41,0.38,0.15,0.85,0.0,0.26,0.27,0.58,0.17
ppcboot.csv,0.58,0.43,0.37,0.71,0.5,0.41,0.65,0.21,0.85,0.26,0.86,0.58,0.51,0.88
repositorium.csv,0.0,0.23,0.17,0.0,0.28,0.2,0.18,0.39,0.15,0.12,0.35,0.34,0.19,0.09
unbvision.csv,0.55,0.51,0.41,0.49,0.42,0.68,0.52,0.16,0.57,0.22,0.88,0.3,0.56,0.16
wxstudio.csv,0.05,0.17,0.29,0.42,0.38,0.09,0.49,0.21,0.59,0.0,0.54,0.71,0.23,0.92
xbg.csv,0.45,0.2,0.18,0.12,0.24,0.34,0.61,0.1,0.09,0.41,0.21,0.27,0.25,0.34
