,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.5,0.51,0.5,0.45,0.59,0.64,0.63,0.69,0.53,0.5
betoffice.csv,0.57,0.62,0.75,0.78,0.57,0.88,0.62,0.69,0.76,0.8
bnetd.csv,0.33,0.35,0.48,0.34,0.4,0.5,0.47,0.5,0.41,0.41
graphmak.csv,0.88,0.61,0.82,0.88,0.58,0.88,0.9,0.89,0.55,0.91
hazelcast.csv,0.35,0.38,0.52,0.34,0.36,0.35,0.36,0.38,0.39,0.39
megasquirtavr.csv,0.39,0.38,0.83,0.35,0.4,0.4,0.4,0.42,0.41,0.44
pdfedit.csv,0.44,0.68,0.58,0.51,0.54,0.54,0.94,0.64,0.92,0.67
stajistics.csv,0.95,0.48,0.67,0.67,0.57,0.59,0.78,0.89,0.47,0.63
twostep.csv,0.49,0.56,0.92,0.7,0.48,0.53,0.78,0.7,0.5,0.65
xharbour.csv,0.38,0.4,0.55,0.35,0.44,0.44,0.39,0.46,0.5,0.46
