,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.98,0.77,0.5,0.64,0.0,0.88,0.77,0.83,0.49,0.72
betoffice.csv,0.65,0.82,0.95,0.86,0.84,0.8,0.09,0.67,0.9,0.7
bnetd.csv,0.64,0.68,0.64,0.72,0.54,0.55,0.74,0.03,0.87,0.57
graphmak.csv,0.92,0.08,0.7,0.83,0.53,0.85,0.92,0.82,0.57,0.84
hazelcast.csv,0.74,0.93,0.66,0.93,0.85,0.0,0.92,0.72,0.84,0.72
megasquirtavr.csv,1.0,0.91,0.1,1.0,1.0,0.7,0.83,1.0,1.0,0.88
pdfedit.csv,0.63,0.85,0.69,0.0,0.75,0.59,0.75,0.68,0.7,0.71
stajistics.csv,0.93,0.5,0.57,0.8,0.6,0.58,0.8,0.82,0.54,0.0
twostep.csv,0.71,0.77,0.91,0.74,0.71,0.66,0.71,0.78,0.0,0.66
xharbour.csv,0.05,0.89,0.81,1.0,0.73,1.01,0.98,0.96,0.92,0.97
