,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.53,0.5,0.5,0.5,0.52,0.94,0.86,0.9,0.67,0.9,0.89,0.89
aubit4gl.csv,0.62,0.61,0.67,0.45,0.53,0.81,0.82,0.9,0.58,0.75,0.67,0.65
liferea.csv,0.57,0.7,0.57,0.91,0.94,0.72,0.69,0.49,0.83,0.73,0.71,0.56
moving-pictures.csv,0.67,0.38,0.46,0.9,0.38,0.72,0.5,0.44,0.68,0.55,0.65,0.42
olex2.csv,0.51,0.75,0.5,0.9,0.83,0.65,0.65,0.94,0.74,0.55,0.45,0.53
opensim4opencog.csv,0.9,0.5,0.83,0.88,0.59,0.95,0.83,0.97,0.96,0.95,0.89,0.91
plearn.csv,0.71,0.64,0.78,0.75,0.38,0.71,0.5,0.6,0.83,0.63,0.65,0.67
psrchive.csv,0.87,0.8,0.92,0.5,0.83,0.93,0.8,0.8,0.93,0.91,0.89,0.88
re2c.csv,0.62,0.83,0.56,0.54,0.78,0.66,0.46,0.52,0.69,0.63,0.6,0.51
rebecca-aiml.csv,0.81,0.5,0.75,0.48,0.36,0.62,0.44,0.51,0.67,0.66,0.62,0.62
wxcode.csv,0.92,0.83,0.67,0.5,0.93,0.8,0.0,0.91,0.67,0.86,0.86,0.9
xfce.csv,0.48,0.45,0.43,0.32,0.43,0.52,0.42,0.47,0.6,0.5,0.53,0.39
