,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.51,0.47,0.92,1.0,0.51,1.0,0.43,0.56,0.65,0.97,0.55,0.52,1.0
echongl.csv,0.59,0.55,0.2,0.05,0.99,0.0,0.66,0.52,0.76,0.0,0.24,0.24,0.03
les-indemodables.csv,0.46,0.23,0.18,0.49,0.17,0.0,0.55,0.25,0.3,0.97,0.25,0.31,0.05
mbse.csv,0.64,0.59,0.4,0.89,0.52,0.0,0.51,0.53,0.59,0.3,0.57,0.34,0.53
ns-3-dev-def-routing.csv,0.59,0.46,0.25,0.43,0.48,0.0,0.94,0.53,0.57,0.59,0.41,0.5,0.5
psycle.csv,0.85,0.97,0.82,0.98,0.78,1.0,0.78,0.8,0.59,0.84,0.81,0.81,0.74
qpe.csv,0.82,0.41,0.25,0.23,0.16,0.0,0.34,0.35,0.57,0.46,0.53,0.14,0.34
simplewebservices.csv,0.49,0.25,0.45,0.74,0.14,0.0,0.4,0.52,0.22,0.24,0.94,0.46,0.63
v8.csv,0.87,0.61,1.0,1.0,1.0,1.0,0.85,1.0,0.95,0.97,0.99,0.85,1.0
wikipediardware.csv,0.97,0.7,0.92,0.77,0.97,1.0,0.93,0.6,0.65,0.97,0.96,0.81,0.92
wxstudio.csv,0.41,0.11,0.22,0.05,0.22,0.0,0.35,0.15,0.95,0.14,0.02,0.17,0.29
xamj.csv,0.49,0.72,0.5,0.51,0.31,0.0,0.45,0.4,0.7,0.7,0.5,0.91,0.63
