,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.16,0.1,0.77,0.33,0.49,0.28,0.5,0.41,0.37,0.66
firebird.csv,0.31,0.43,0.99,0.57,0.57,0.81,0.87,0.9,0.38,0.94
fmri-dmt.csv,0.66,0.62,0.9,0.64,0.95,0.5,0.39,0.95,0.42,0.23
htmlunit.csv,0.31,0.24,0.29,0.38,0.31,0.24,0.56,0.59,0.35,0.53
monetdb.csv,0.48,0.29,0.12,0.3,0.07,0.13,0.3,0.46,0.27,0.15
ontomorphtab.csv,0.58,0.24,0.85,0.49,0.75,0.61,0.44,0.69,0.63,0.74
smarttag.csv,0.73,0.48,0.55,0.82,0.45,0.5,0.67,0.31,0.39,0.77
taokgame.csv,0.05,0.14,0.1,0.42,0.12,0.07,0.22,0.49,0.04,0.05
webdriver.csv,0.63,0.48,0.2,0.64,0.24,0.28,0.24,0.59,0.38,0.24
xbplayer.csv,0.27,0.29,0.4,0.4,0.29,0.3,0.3,0.56,0.11,0.37
