,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv
fceugc.csv,0.13,0.0,0.06,0.0,0.09,0.06,0.09
flexpay.csv,0.22,0.38,0.0,0.26,0.58,0.49,0.39
modellus.csv,0.3,0.17,0.34,0.19,0.2,0.0,0.32
open-data-kit.csv,0.56,0.33,0.68,0.4,0.58,0.45,0.02
phet.csv,0.0,0.25,0.54,0.26,0.15,0.6,0.39
qtractor.csv,0.17,0.0,0.12,0.23,0.0,0.06,0.07
sumatrapdf.csv,0.75,0.67,0.75,0.65,0.0,0.48,0.59
