,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv
fceugc.csv,0.29,1.0,0.16,1.0,0.44,0.5,0.67
flexpay.csv,0.17,0.4,1.0,0.27,0.24,0.33,0.56
modellus.csv,0.2,0.81,0.21,0.43,0.58,1.0,0.72
open-data-kit.csv,0.22,0.71,0.16,0.41,0.36,0.57,0.99
phet.csv,1.0,0.33,0.14,0.27,0.2,0.37,0.67
qtractor.csv,0.12,1.0,0.24,0.41,1.0,0.79,0.84
sumatrapdf.csv,0.19,0.62,0.19,0.36,1.0,0.63,0.68
