,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.42,0.0,0.34,0.19,0.12,0.62,0.25,0.18,0.12,0.0,0.61
ivatamasks.csv,0.93,0.0,0.47,0.3,0.95,0.25,0.66,0.38,0.44,0.57,0.77
java-gnome.csv,0.27,0.5,0.35,0.06,0.63,0.12,0.28,0.43,0.12,0.29,0.25
orc.csv,0.05,0.0,0.21,0.26,0.15,0.38,0.28,0.24,0.38,0.0,0.14
plato.csv,0.95,1.0,0.95,0.94,0.83,0.12,0.91,0.6,0.19,1.0,0.97
rodin-b-sharp.csv,0.02,1.0,0.09,0.34,0.07,0.62,0.15,0.51,0.44,0.0,0.12
tycho.csv,0.44,0.5,0.19,0.57,0.2,0.12,0.57,0.2,0.12,0.21,0.85
umber.csv,0.09,1.0,0.99,0.85,0.8,1.0,0.96,0.9,0.94,0.46,0.42
unicase.csv,0.31,0.0,0.81,0.77,0.49,0.75,0.67,0.44,0.62,0.71,0.41
vienna-add-in.csv,0.53,1.0,0.64,0.79,0.41,0.5,0.58,0.86,0.38,0.54,0.65
wpdev.csv,0.98,0.0,0.99,1.0,0.98,1.0,1.0,0.92,1.0,0.96,0.99
