,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.73,0.86,0.0,0.39,0.9,0.8,0.43,0.83,0.83,0.6
arsenal-1.csv,0.35,0.48,0.43,0.83,0.92,0.62,0.91,0.62,0.89,0.86
barracudamvc.csv,0.41,0.29,0.38,0.33,0.36,0.34,0.35,0.51,0.4,0.42
irplus.csv,0.32,0.26,0.42,0.34,0.42,0.43,0.32,0.42,0.32,0.35
lite.csv,0.36,0.52,0.4,0.83,0.68,0.65,0.57,0.51,0.56,0.79
mevenide.csv,0.39,0.52,0.43,0.67,0.93,0.67,0.0,0.72,0.75,0.55
ontopia.csv,0.94,0.37,0.69,0.39,0.43,0.6,0.33,0.67,0.43,0.46
openintents.csv,0.39,0.37,0.31,0.31,0.5,0.38,0.32,0.47,0.51,0.62
ta3d.csv,0.55,0.52,0.38,0.83,0.53,0.91,0.71,0.74,0.8,0.35
tweetsharp.csv,0.77,0.61,0.43,0.37,0.74,0.57,0.36,0.77,0.49,0.57
