,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.26,0.11,0.0,0.74,0.11,0.15,0.62,0.17,0.15,0.3
arsenal-1.csv,0.2,0.38,0.69,0.11,0.13,0.45,0.31,0.64,0.23,0.24
barracudamvc.csv,0.77,0.4,0.13,0.0,0.55,0.09,0.27,0.44,0.27,0.0
irplus.csv,0.54,0.61,0.41,0.69,0.39,0.62,0.7,0.45,0.56,0.47
lite.csv,0.41,0.28,0.6,0.17,0.28,0.36,0.73,0.67,0.35,0.39
mevenide.csv,0.44,0.38,0.45,0.11,0.15,0.0,0.09,0.79,0.06,0.3
ontopia.csv,0.14,0.57,0.3,0.52,0.78,0.34,0.5,0.04,0.63,0.37
openintents.csv,0.54,0.69,0.61,0.8,0.35,0.68,0.62,0.51,0.37,0.45
ta3d.csv,0.37,0.46,0.13,0.17,0.35,0.28,0.37,0.35,0.09,0.66
tweetsharp.csv,0.39,0.51,0.51,0.49,0.52,0.48,0.26,0.27,0.74,0.52
