,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.88,0.29,0.0,0.61,0.7,0.6,0.43,0.67,0.83,0.9
arsenal-1.csv,0.81,0.35,0.63,0.33,0.67,0.62,0.36,0.3,0.89,1.0
barracudamvc.csv,0.94,0.43,0.46,0.39,0.86,0.37,0.27,0.2,0.75,0.68
irplus.csv,0.84,0.45,0.53,0.55,0.82,0.54,0.34,0.32,0.74,0.75
lite.csv,0.82,0.24,0.51,0.5,0.76,0.47,0.48,0.31,0.81,0.86
mevenide.csv,0.81,0.35,0.52,0.67,0.67,0.0,1.0,0.57,0.5,0.82
ontopia.csv,0.81,0.42,0.54,0.39,0.94,0.27,0.27,0.33,0.78,0.66
openintents.csv,0.86,0.59,0.5,0.56,0.78,0.49,0.32,0.25,0.68,0.62
ta3d.csv,0.75,0.48,0.45,0.5,0.8,0.55,0.29,0.33,0.6,0.77
tweetsharp.csv,0.86,0.48,0.49,0.42,0.95,0.34,0.24,0.15,0.85,0.68
