,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.15,0.15,0.0,0.35,0.21,0.05,0.29,0.02,0.07,0.06
arsenal-1.csv,0.95,0.45,0.35,0.13,0.29,0.14,0.17,0.55,0.07,0.0
barracudamvc.csv,0.25,0.88,0.97,1.0,0.79,0.98,0.93,0.8,0.93,1.0
irplus.csv,0.65,0.7,0.29,0.42,0.43,0.3,0.61,0.3,0.67,0.31
lite.csv,0.85,0.58,0.74,0.1,0.43,0.2,0.29,0.68,0.2,0.12
mevenide.csv,0.8,0.45,0.32,0.03,0.36,0.07,0.0,0.19,0.13,0.12
ontopia.csv,0.15,0.67,0.19,0.71,0.29,0.5,0.8,0.02,0.73,0.88
openintents.csv,0.45,0.33,0.68,0.55,0.5,0.43,0.51,0.51,0.87,0.75
ta3d.csv,0.65,0.33,0.97,0.1,0.43,0.11,0.29,0.2,0.13,0.44
tweetsharp.csv,0.3,0.36,0.81,0.81,0.14,0.52,0.93,0.45,0.4,0.56
