,gpsmid.csv,emftriple.csv,fluent-nhibernate.csv,columba.csv
columba.csv,0.68,0.36,0.81,0.27
emftriple.csv,0.21,0.11,0.44,0.16
fluent-nhibernate.csv,0.47,0.35,0.2,0.13
gpsmid.csv,0.26,0.96,0.17,0.62
