,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.1,0.05,0.06,0.11,0.02,0.0,0.09,0.0,0.08,0.0,0.0,0.22,0.11,0.04,0.07
badtrinity-zero.csv,0.02,0.0,0.0,0.07,0.49,0.57,0.27,0.07,0.46,0.0,0.33,0.61,0.42,0.39,0.5
biodwh.csv,0.11,0.05,0.1,0.36,0.09,0.18,0.03,0.1,0.04,0.04,0.0,0.11,0.0,0.17,0.4
critterding.csv,0.22,0.0,0.45,0.36,0.08,0.55,0.4,0.34,0.33,0.2,0.5,0.11,0.24,0.35,0.52
elateportal.csv,0.0,0.0,0.32,0.76,0.39,0.56,0.18,0.0,0.5,0.0,0.0,0.83,0.66,0.17,0.8
enzo.csv,0.73,0.56,0.73,0.49,0.84,0.74,0.6,0.52,0.83,0.12,0.83,0.83,0.86,0.83,0.67
factor.csv,0.0,0.02,0.06,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.01,0.04,0.24
gusanos.csv,0.49,0.9,0.35,0.56,0.4,0.35,0.3,0.0,0.79,0.16,0.5,0.33,0.44,0.52,0.63
miranda.csv,0.41,0.17,0.27,0.31,0.66,0.62,0.34,0.07,0.62,0.56,0.0,0.61,0.32,0.22,0.01
modplug.csv,0.74,0.59,0.77,0.48,0.9,0.3,0.2,0.45,0.0,0.8,0.67,0.67,0.55,0.26,0.74
monetdb.csv,0.46,0.49,0.27,0.33,0.01,0.24,0.42,0.62,0.21,0.32,0.17,0.17,0.55,0.09,0.45
quarkplayer.csv,0.56,0.54,0.59,0.57,0.55,0.65,0.0,0.59,0.83,0.48,1.0,0.67,0.54,0.65,0.23
reactos-mirror.csv,0.04,0.73,0.73,0.77,0.35,0.45,0.78,0.83,0.46,0.24,0.83,0.78,0.77,0.7,0.75
sandiaportals.csv,0.54,0.61,0.5,0.64,0.55,0.54,0.66,0.59,0.62,0.28,0.33,0.0,0.68,0.39,0.73
xbplayer.csv,0.28,0.22,0.06,0.0,0.11,0.13,0.27,0.1,0.17,0.0,0.0,0.0,0.37,0.17,0.34
