,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.26,0.12,0.88,0.44,0.98,0.29,0.09,0.19,0.35,0.15,0.13,0.37,0.64
codepurge.csv,0.67,0.32,0.92,0.5,0.27,0.38,0.11,0.64,0.54,0.38,1.0,0.5,0.69
crisscross.csv,0.18,1.0,0.91,0.43,0.2,0.5,0.0,0.31,0.44,0.34,0.26,0.61,0.45
elvishrayrenderer.csv,0.25,0.13,0.88,0.49,0.53,0.35,0.09,0.28,0.31,0.18,0.12,0.46,1.0
gwanted.csv,0.0,0.0,0.83,1.0,0.4,0.5,0.11,0.61,0.46,1.0,0.0,0.33,1.0
jitterbit.csv,0.17,0.15,0.93,0.55,0.33,0.38,0.21,1.0,0.44,0.29,0.19,0.63,0.7
ldview.csv,0.15,0.11,0.85,0.58,0.77,1.0,0.44,0.41,0.39,0.27,0.12,0.45,0.77
libopenmetaverse.csv,0.12,0.28,0.87,1.0,0.52,0.5,0.31,0.38,0.44,0.31,0.19,0.56,0.63
mb-unit.csv,0.67,0.22,0.99,0.53,0.51,0.38,0.14,0.24,0.42,0.13,0.2,0.53,0.7
mvdsv.csv,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
nova.csv,1.0,0.18,0.85,0.57,0.4,0.32,0.0,0.32,0.44,0.23,0.13,0.56,0.65
olex2.csv,0.5,0.25,0.88,0.58,0.35,0.5,0.0,0.4,0.28,0.14,0.25,1.0,0.71
tolven.csv,1.0,0.22,0.9,0.58,0.43,0.33,0.29,0.68,1.0,0.25,0.1,0.71,0.77
