,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,12.0,17.0,0.0,0.0,0.0,0.0,39.0,6.0,6.0,26.0,19.0,4.0,0.0
codepurge.csv,1.0,0.0,1.0,0.0,4.0,2.0,31.0,0.0,2.0,7.0,0.0,4.0,0.0
crisscross.csv,8.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,6.0,5.0,1.0,3.0,2.0
elvishrayrenderer.csv,7.0,44.0,0.0,1.0,0.0,0.0,28.0,3.0,10.0,13.0,18.0,1.0,0.0
gwanted.csv,56.0,120.0,0.0,0.0,0.0,1.0,14.0,0.0,5.0,0.0,168.0,0.0,0.0
jitterbit.csv,17.0,42.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,10.0,11.0,1.0,0.0
ldview.csv,7.0,16.0,0.0,0.0,0.0,0.0,3.0,5.0,9.0,11.0,21.0,2.0,0.0
libopenmetaverse.csv,14.0,8.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,16.0,2.0,0.0
mb-unit.csv,0.0,15.0,0.0,0.0,0.0,0.0,9.0,8.0,2.0,31.0,15.0,0.0,1.0
mvdsv.csv,56.0,120.0,0.0,70.0,89.0,57.0,0.0,0.0,126.0,163.0,168.0,130.0,0.0
nova.csv,0.0,16.0,0.0,0.0,0.0,0.0,68.0,3.0,8.0,9.0,18.0,2.0,0.0
olex2.csv,0.0,10.0,0.0,2.0,2.0,0.0,68.0,0.0,7.0,5.0,8.0,0.0,2.0
tolven.csv,0.0,7.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,9.0,21.0,0.0,0.0
