,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.0,0.0,0.89,0.41,0.88,0.51,0.54,0.69,0.46,0.31,0.49,0.0,0.57,0.42
avifile.csv,0.28,0.17,0.76,0.33,0.72,0.38,0.41,0.39,0.11,0.52,0.37,0.94,0.84,0.15
delphilhlplib.csv,0.05,0.21,0.82,0.6,0.87,0.52,0.43,0.64,0.41,0.41,0.56,0.0,1.0,0.5
fluidium.csv,0.0,0.14,1.0,0.17,0.4,0.59,0.54,0.0,0.0,0.4,0.0,0.95,0.45,0.0
gnome-jabber.csv,0.0,0.17,0.69,0.45,0.71,0.55,0.46,0.58,0.35,0.61,0.43,0.98,0.75,0.48
ipfilter.csv,0.09,0.18,0.67,0.31,0.73,0.16,0.41,0.49,0.15,0.45,0.38,0.95,0.98,0.36
jparsec.csv,0.05,0.16,0.7,0.31,0.75,0.43,0.41,0.55,0.28,0.65,0.38,0.95,0.74,0.48
loki-lib.csv,0.07,0.17,0.76,0.31,0.92,0.42,0.55,0.45,0.39,0.39,0.59,0.95,0.69,0.67
mumble.csv,0.0,0.16,0.76,0.32,0.75,0.36,0.0,0.55,0.65,0.44,0.59,0.97,0.71,0.0
opengs.csv,0.09,0.16,0.81,0.45,0.67,0.61,0.48,0.52,0.42,0.39,0.5,1.0,0.73,0.5
owfs.csv,0.1,0.25,0.61,0.42,0.85,0.42,0.39,0.59,0.33,0.42,0.42,0.96,0.71,0.45
rectracker.csv,0.06,0.19,0.91,0.33,0.75,0.42,0.45,0.54,0.33,0.39,0.4,0.95,0.67,0.37
rockbox.csv,0.05,0.5,0.66,0.75,0.88,0.33,0.44,0.65,0.38,0.36,0.5,0.96,0.89,0.75
zealos.csv,0.1,0.2,0.66,0.49,0.76,0.39,0.12,0.39,0.26,0.37,0.41,0.88,1.0,0.75
