,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.09,0.04,0.07,0.25,0.06,0.43,0.21,0.34,0.23,0.29,0.43,0.0,0.16,0.69
avifile.csv,0.2,0.83,0.33,0.03,0.89,0.47,0.69,0.77,0.52,0.22,0.98,0.8,0.42,0.53
delphilhlplib.csv,0.31,0.29,0.11,0.15,0.33,0.51,0.41,0.11,0.4,0.38,0.15,0.0,0.0,0.28
fluidium.csv,0.0,0.35,0.0,0.43,0.17,0.21,0.41,0.0,0.03,0.04,0.02,0.2,0.89,0.0
gnome-jabber.csv,0.38,0.75,0.67,0.32,0.56,0.38,0.45,0.4,0.66,0.22,0.59,0.2,0.63,0.47
ipfilter.csv,0.63,0.87,1.0,0.88,1.0,0.35,0.76,0.94,0.82,0.42,0.98,1.0,0.05,0.72
jparsec.csv,0.65,1.0,0.63,1.0,1.0,0.66,0.79,0.71,0.89,0.22,0.85,1.0,0.63,0.66
loki-lib.csv,0.43,0.92,0.3,1.0,0.17,0.14,0.17,0.31,0.54,0.32,0.28,1.0,0.63,0.12
mumble.csv,0.02,0.98,0.48,0.91,0.89,0.44,0.0,0.37,0.17,0.51,0.15,0.4,0.63,0.0
opengs.csv,0.32,0.6,0.3,0.25,0.78,0.35,0.41,0.43,0.32,0.91,0.11,0.0,0.47,0.22
owfs.csv,0.68,0.29,0.96,0.1,0.22,0.95,0.76,0.49,0.51,0.86,0.83,0.4,0.79,0.66
rectracker.csv,0.98,0.9,0.19,0.91,1.0,0.99,0.9,0.83,0.66,1.0,0.89,1.0,0.95,0.97
rockbox.csv,0.55,0.06,0.59,0.04,0.28,0.49,0.31,0.46,0.37,0.97,0.15,0.2,0.11,0.16
zealos.csv,0.29,0.38,0.81,0.4,0.83,0.18,0.24,0.57,0.43,0.46,0.28,0.6,0.0,0.03
