,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,0.83,0.5,0.95,0.41,0.88,0.49,0.54,0.41,0.54,0.97,0.49,0.0,0.86,0.39
avifile.csv,0.94,0.48,0.63,0.67,0.47,0.55,0.65,0.66,0.82,0.61,0.46,0.74,0.45,0.95
delphilhlplib.csv,0.67,0.63,0.82,0.6,0.43,0.45,0.52,0.82,0.48,0.7,0.75,0.0,0.8,0.61
fluidium.csv,0.0,0.81,0.88,0.8,0.8,0.59,0.5,0.0,0.5,0.8,0.0,0.95,0.58,0.0
gnome-jabber.csv,0.56,0.34,0.37,0.57,0.59,0.5,0.54,0.55,0.42,0.55,0.47,0.44,0.33,0.38
ipfilter.csv,0.49,0.45,0.3,0.6,0.41,0.84,0.59,0.46,0.56,0.68,0.45,0.54,0.44,0.61
jparsec.csv,0.48,0.4,0.3,0.54,0.38,0.33,0.49,0.44,0.42,0.49,0.46,0.52,0.41,0.4
loki-lib.csv,0.57,0.41,0.48,0.54,0.44,0.95,0.55,0.75,0.42,0.53,0.5,0.52,0.44,0.5
mumble.csv,0.0,0.39,0.41,0.54,0.41,0.66,0.0,0.66,0.48,0.49,0.71,0.43,0.34,0.0
opengs.csv,0.65,0.38,0.56,0.68,0.58,0.54,0.43,0.55,0.53,0.43,0.9,0.68,0.48,0.64
owfs.csv,0.43,0.55,0.29,0.92,0.5,0.36,0.42,0.46,0.41,0.37,0.42,0.3,0.33,0.45
rectracker.csv,0.37,0.43,0.41,0.58,0.38,0.35,0.47,0.44,0.39,0.39,0.49,0.52,0.37,0.45
rockbox.csv,0.42,0.83,0.36,0.75,0.43,0.6,0.5,0.39,0.44,0.42,0.64,0.46,0.53,0.35
zealos.csv,0.62,0.52,0.34,0.58,0.41,0.96,0.88,0.67,0.71,0.63,0.82,0.96,0.88,0.75
