,avifile.csv,owfs.csv,rectracker.csv,zealos.csv,delphilhlplib.csv,opengs.csv,fluidium.csv,amygdala.csv,mumble.csv,jparsec.csv,loki-lib.csv,gnome-jabber.csv,ipfilter.csv,rockbox.csv
amygdala.csv,1.0,1.0,0.7,0.65,0.87,0.57,0.7,0.45,0.53,0.85,0.55,1.0,0.93,0.71
avifile.csv,0.2,0.85,0.59,0.97,0.91,0.75,0.77,0.95,0.99,0.68,0.98,0.86,0.43,1.0
delphilhlplib.csv,0.86,0.7,0.76,0.52,0.4,0.55,0.71,0.82,0.49,0.71,0.71,1.0,0.89,0.6
fluidium.csv,1.0,0.81,0.86,0.91,0.98,0.61,0.53,1.0,1.0,0.96,1.0,0.81,1.13,1.0
gnome-jabber.csv,1.07,0.8,0.72,0.51,0.78,0.52,0.65,0.64,0.67,0.54,0.66,0.4,0.67,0.54
ipfilter.csv,0.66,0.87,1.0,0.89,1.0,0.97,0.81,0.96,1.04,0.63,0.98,1.0,0.07,0.79
jparsec.csv,0.88,1.0,0.69,1.0,1.0,0.72,0.83,0.74,0.9,0.44,0.87,1.0,0.68,0.66
loki-lib.csv,0.74,0.93,0.63,1.0,0.41,0.86,0.73,0.83,0.55,0.76,0.45,1.0,0.75,0.59
mumble.csv,1.0,0.98,0.55,0.91,0.9,0.78,1.0,0.69,0.26,0.63,0.67,0.46,0.73,1.0
opengs.csv,0.68,0.75,0.48,0.59,0.9,0.41,0.63,0.72,0.51,0.92,0.83,0.7,0.67,0.67
owfs.csv,0.68,0.62,1.0,0.84,0.63,0.95,0.83,0.61,0.62,0.86,0.83,0.66,0.82,0.66
rectracker.csv,1.0,0.9,0.22,0.91,1.0,0.99,0.9,0.84,0.68,1.0,0.89,1.0,0.97,0.97
rockbox.csv,0.82,0.73,0.74,0.7,0.41,0.81,0.74,0.5,0.54,0.98,0.77,0.78,0.64,0.26
zealos.csv,0.67,0.67,0.85,0.42,0.84,0.85,0.98,0.87,0.74,0.74,0.75,0.97,0.83,0.84
