,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.42,0.53,0.38,0.94,0.67,0.5,0.5,0.57,0.38,0.43,0.85,0.4,0.54,0.52,0.83,0.86
fleet-simulator.csv,0.35,0.44,0.61,0.5,0.38,0.57,0.39,0.34,0.34,0.76,0.31,0.29,0.41,0.41,0.36,0.39
geogebra.csv,0.52,0.59,0.6,0.83,0.45,0.5,0.45,0.47,0.54,0.62,0.59,0.69,0.56,0.48,0.92,0.43
gtad.csv,0.71,0.86,0.5,0.88,0.41,0.52,0.52,0.59,0.49,0.69,0.95,0.69,0.56,0.92,0.88,0.38
hibernate.csv,0.48,0.88,0.5,0.8,0.45,0.47,0.49,0.63,0.39,0.56,0.51,0.9,0.58,0.57,0.66,0.41
ipfire-wall.csv,0.63,0.57,0.83,0.79,0.38,0.86,0.44,0.71,0.56,0.47,0.96,0.5,0.67,0.55,0.69,0.41
irplus.csv,0.42,0.43,0.42,0.41,0.37,0.34,0.39,0.39,0.47,0.33,0.45,0.46,0.37,0.52,0.46,0.31
mumble.csv,0.91,0.5,0.46,0.88,0.0,0.96,0.55,0.42,0.42,0.98,0.45,0.3,0.59,0.57,0.37,0.55
ondex.csv,0.5,0.0,0.68,0.9,0.41,0.58,0.48,0.71,0.38,0.96,0.69,0.77,0.74,0.73,0.94,0.48
powerfolder.csv,0.75,0.5,0.85,0.91,0.4,0.46,0.42,0.65,0.94,0.71,0.96,0.52,0.6,0.67,0.46,0.38
projectts.csv,0.7,0.59,0.38,0.8,0.42,0.69,0.5,0.49,0.7,0.97,0.75,0.61,0.6,0.89,0.73,0.38
quantlib.csv,0.83,0.0,0.0,0.47,0.0,0.68,0.0,0.88,0.67,0.57,0.31,0.88,0.43,0.39,0.54,0.0
smartgwt.csv,0.38,0.42,0.77,0.47,0.38,0.46,0.4,0.82,0.77,0.38,0.47,0.92,0.62,0.69,0.47,0.42
tweetsharp.csv,0.86,0.6,0.38,0.8,0.42,0.46,0.45,0.59,0.44,0.96,0.46,0.92,0.54,0.68,0.62,0.49
wxlua.csv,0.4,0.43,0.95,0.6,0.48,0.61,0.6,0.75,0.9,0.97,0.9,0.89,0.96,0.99,0.51,0.47
