,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.65,0.46,0.42,0.56,0.46,0.52,0.39,0.31,0.49,0.05,0.3,0.58,0.48,0.4
biopax.csv,0.71,0.43,0.2,0.59,0.37,0.66,0.32,0.19,0.5,0.05,0.56,0.54,0.59,0.88
gnupdate.csv,0.61,0.53,0.12,0.6,0.28,0.58,0.6,0.12,0.48,0.05,0.54,0.52,0.59,0.71
les-indemodables.csv,0.65,0.38,0.2,0.53,0.42,0.27,0.32,0.12,0.44,0.06,0.48,0.61,0.36,0.83
openxava.csv,0.6,0.19,0.27,0.47,0.27,0.36,0.12,0.17,0.39,0.14,0.61,0.59,0.17,0.26
ppcboot.csv,0.7,0.51,0.2,0.58,0.39,0.63,0.33,0.22,0.57,0.05,0.53,0.52,0.58,0.84
repositorium.csv,0.14,0.05,0.3,0.14,0.01,0.18,0.0,0.38,0.06,0.07,0.36,0.21,0.3,0.38
rsyslog.csv,0.73,0.42,0.17,0.55,0.42,0.49,0.43,0.25,0.41,0.05,0.61,0.37,0.59,0.3
simplewebservices.csv,0.68,0.4,0.26,0.57,0.32,0.69,0.32,0.17,0.46,0.05,0.64,0.53,0.61,0.43
ultimairis.csv,0.69,0.44,0.21,0.59,0.39,0.69,0.32,0.27,0.61,0.0,0.37,0.46,0.52,0.68
vars-redux.csv,0.61,0.36,0.19,0.7,0.46,0.42,0.25,0.24,0.39,0.07,0.61,0.58,0.47,0.72
wow-qrsk.csv,0.14,0.42,0.25,0.66,0.58,0.42,0.1,0.0,0.04,0.08,0.05,0.56,0.29,0.45
wxstudio.csv,0.57,0.22,0.17,0.46,0.13,0.54,0.26,0.25,0.3,0.0,0.7,0.13,0.04,0.25
xqilla.csv,0.07,0.07,0.12,0.34,0.2,0.16,0.09,0.11,0.19,0.46,0.38,0.05,0.22,0.2
