,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.57,0.61,0.85,0.49,0.68,0.9,0.94,0.81,0.76,0.65,0.76,0.55,0.56,0.79
biopax.csv,0.52,0.35,0.48,0.36,0.42,0.55,0.46,0.41,0.4,0.39,0.46,0.5,0.35,0.55
gnupdate.csv,0.63,0.49,0.42,0.37,0.43,0.61,0.64,0.48,0.43,0.68,0.52,0.47,0.39,0.49
les-indemodables.csv,0.54,0.4,0.49,0.51,0.47,0.48,0.4,0.68,0.43,0.34,0.48,0.58,0.63,0.48
openxava.csv,0.43,0.92,0.42,0.53,0.43,0.35,0.5,0.37,0.4,0.44,0.38,0.52,0.97,0.92
ppcboot.csv,0.53,0.38,0.48,0.36,0.48,0.86,0.48,0.59,0.61,0.39,0.52,0.52,0.36,0.52
repositorium.csv,0.67,0.0,0.91,0.89,0.99,0.95,0.8,0.59,0.95,0.38,0.9,0.95,0.77,0.72
rsyslog.csv,0.5,0.42,0.5,0.38,0.49,0.5,0.77,0.4,0.54,0.4,0.39,0.87,0.35,0.87
simplewebservices.csv,0.52,0.35,0.37,0.36,0.42,0.57,0.46,0.42,0.4,0.41,0.45,0.48,0.45,0.54
ultimairis.csv,0.52,0.35,0.38,0.34,0.43,0.57,0.46,0.75,0.65,0.88,0.52,0.63,0.37,0.65
vars-redux.csv,0.45,0.46,0.49,0.41,0.47,0.4,0.38,0.35,0.42,0.35,0.4,0.47,0.56,0.53
wow-qrsk.csv,0.5,0.56,0.38,0.4,0.6,0.98,0.0,0.0,0.75,0.46,0.0,0.49,0.97,0.62
wxstudio.csv,0.57,0.62,0.88,0.44,0.54,0.64,0.51,0.64,0.52,0.5,0.49,0.88,0.67,0.72
xqilla.csv,0.0,0.76,0.0,0.74,0.6,0.83,0.74,0.43,0.62,0.9,0.69,0.0,0.97,0.94
