,rsyslog.csv,acegisecurity.csv,openxava.csv,vars-redux.csv,wow-qrsk.csv,ppcboot.csv,gnupdate.csv,repositorium.csv,ultimairis.csv,xqilla.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.48,0.56,0.46,0.54,0.52,0.62,0.66,0.58,0.59,0.73,0.81,0.55,0.66,0.75
biopax.csv,0.79,1.0,1.0,1.0,0.74,0.9,0.94,0.96,0.9,1.0,0.89,0.92,1.0,0.21
gnupdate.csv,0.64,0.48,0.82,0.84,0.99,0.74,0.28,0.94,0.88,0.73,0.67,0.86,0.58,0.74
les-indemodables.csv,0.51,0.86,0.92,0.68,0.51,0.85,0.62,0.85,0.7,0.59,0.77,0.45,0.74,0.62
openxava.csv,0.54,0.88,0.52,0.64,0.75,0.85,0.91,0.75,0.8,0.32,0.49,0.5,0.9,0.85
ppcboot.csv,0.8,0.74,1.0,0.97,0.66,0.51,0.95,0.7,0.48,1.0,0.92,0.94,0.99,0.41
repositorium.csv,0.92,0.97,0.52,0.92,1.0,0.9,1.0,0.37,0.97,0.71,0.76,0.86,0.82,0.89
rsyslog.csv,0.4,0.76,0.97,0.78,0.48,0.74,0.53,0.78,0.65,0.95,0.49,0.73,1.0,0.82
simplewebservices.csv,1.0,0.89,0.56,0.81,0.99,1.0,1.0,1.02,0.98,0.91,0.84,1.0,0.49,0.75
ultimairis.csv,0.88,0.98,0.66,0.73,0.61,0.96,1.0,0.82,0.42,1.06,0.84,0.66,0.88,0.49
vars-redux.csv,0.52,0.71,0.89,0.41,0.43,0.77,0.77,0.61,0.76,0.66,0.51,0.73,0.65,0.43
wow-qrsk.csv,0.92,0.6,0.56,0.45,0.3,0.72,0.95,1.0,0.98,0.59,0.97,0.83,0.82,0.72
wxstudio.csv,0.59,0.84,0.88,0.69,1.06,0.9,0.71,0.56,0.9,1.0,0.37,0.92,0.98,1.06
xqilla.csv,0.96,0.99,0.94,0.81,0.82,0.92,0.93,0.91,0.89,0.06,0.74,0.97,0.87,0.96
