,flylinkdc.csv,powerfolder-.csv,ltp.csv,pfaedit.csv,aime.csv,qtwin.csv
aime.csv,0.3,0.22,0.71,0.71,0.39,0.01
flylinkdc.csv,0.52,0.45,0.79,0.78,0.23,0.0
ltp.csv,0.29,0.31,0.79,0.63,0.22,0.0
pfaedit.csv,0.48,0.38,0.83,0.82,0.28,0.01
powerfolder-.csv,0.52,0.53,0.51,0.5,0.26,0.01
qtwin.csv,0.0,0.38,0.0,0.0,0.33,0.03
