,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.03,0.05,0.0,0.03,0.02,0.01,0.04,0.2,0.02,0.0
coot.csv,0.88,0.45,0.51,0.08,0.65,0.29,0.74,0.77,0.01,0.27
haggle.csv,0.03,0.47,0.44,0.15,0.29,0.07,0.15,0.37,0.39,0.35
ibatisdb.csv,0.03,0.73,0.17,0.24,0.17,0.29,0.04,0.3,0.42,0.46
jas.csv,0.34,0.23,0.24,0.21,0.28,0.44,0.16,0.47,0.71,0.49
mesa3d.csv,0.19,0.35,0.51,0.32,0.51,0.53,0.19,0.83,0.29,0.78
ngl.csv,0.69,0.74,0.88,0.45,0.7,0.32,0.71,0.97,0.11,0.73
pustefix.csv,0.03,0.29,0.32,0.45,0.28,0.26,0.91,0.4,0.31,0.51
scenemonitor.csv,0.16,0.34,0.17,0.02,0.27,0.38,0.03,0.53,0.11,0.32
wsmt.csv,0.53,0.11,0.07,0.05,0.47,0.09,0.5,0.2,0.02,0.14
