,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.9,1.0,0.93,0.03,0.94,0.99,1.0,0.8,0.94,1.0
coot.csv,0.91,0.9,0.63,1.0,0.84,0.57,0.96,0.8,1.0,0.39
haggle.csv,0.9,0.58,0.57,1.01,0.7,0.92,1.01,0.63,0.61,0.65
ibatisdb.csv,0.85,0.77,0.83,1.03,0.24,0.79,1.0,0.85,0.6,0.63
jas.csv,0.87,0.61,0.66,0.39,0.93,0.58,0.16,0.53,0.76,0.79
mesa3d.csv,0.53,0.56,0.65,0.32,0.72,0.58,0.89,1.08,0.51,0.8
ngl.csv,0.72,0.77,0.88,0.45,0.9,0.51,0.72,0.97,0.81,0.73
pustefix.csv,0.9,0.6,0.69,0.81,0.93,0.63,0.95,0.72,0.55,0.62
scenemonitor.csv,0.29,0.73,0.79,1.0,0.9,0.79,1.0,0.87,0.88,0.93
wsmt.csv,0.61,0.88,0.95,1.0,0.96,0.84,0.71,0.28,0.99,0.93
