,dvd-create.csv,phonon-vlc-mplayer.csv,tktoolkit.csv,mpgravity.csv,myfaces.csv,empserver.csv,ppcboot.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,echongl.csv,ultimairis.csv,gdis.csv,gmerlin.csv,passwordsafe.csv,growl-for-windows.csv,sandiaportals.csv,nativeclient.csv,wikipediardware.csv
amateur-scrolls.csv,0.0,0.59,0.0,0.0,0.09,0.0,0.0,0.17,0.54,0.91,0.56,0.0,0.21,0.79,0.0,0.94,0.6,0.0
dvd-create.csv,0.95,0.32,0.12,0.0,0.19,0.45,0.52,0.15,0.35,0.72,0.3,0.85,0.36,0.54,0.54,0.79,0.68,0.76
echongl.csv,1.0,0.33,0.12,0.26,0.08,0.71,0.0,0.4,0.44,0.92,0.38,0.96,0.28,0.44,0.75,0.85,0.75,1.0
empserver.csv,0.9,0.26,0.14,0.21,0.12,0.72,0.61,0.17,0.39,0.73,0.33,0.89,0.38,0.4,0.78,0.79,0.71,1.0
gdis.csv,0.9,0.37,0.12,0.21,0.19,0.57,0.7,0.25,0.41,0.8,0.35,1.0,0.29,0.54,0.46,0.83,0.67,0.84
gmerlin.csv,0.87,0.0,0.0,0.0,0.26,0.5,0.46,0.17,0.4,0.5,0.3,0.92,0.41,0.55,0.6,0.79,0.9,0.75
growl-for-windows.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.33,0.0,0.57,0.0,0.0,0.0,0.96,0.88,0.0,0.81
mpgravity.csv,0.82,0.41,0.15,0.5,0.14,0.53,0.52,0.16,0.35,0.7,0.32,0.89,0.33,0.42,0.71,0.79,0.7,0.78
myfaces.csv,0.85,0.47,0.18,0.36,0.43,0.59,0.49,0.5,0.57,0.82,0.58,0.92,0.41,0.64,0.62,0.87,0.79,0.89
nativeclient.csv,0.95,0.42,0.12,0.29,0.17,0.62,0.61,0.03,0.38,0.69,0.33,0.89,0.4,0.45,0.61,0.88,0.76,0.81
passwordsafe.csv,1.0,0.49,0.19,0.5,0.15,0.67,0.75,0.13,0.4,0.74,0.49,0.94,0.32,0.66,0.72,0.91,0.76,0.8
phonon-vlc-mplayer.csv,0.85,0.64,0.18,0.8,0.19,0.59,0.59,0.25,0.48,0.69,0.67,0.92,0.32,0.67,0.68,1.0,0.75,0.85
ppcboot.csv,0.82,0.27,0.13,0.23,0.14,0.52,0.74,0.17,0.31,0.72,0.37,0.81,0.32,0.37,0.61,0.74,0.58,0.73
rtrt-on-gpu.csv,0.71,0.05,0.12,0.22,0.12,0.48,0.41,0.58,0.0,0.79,0.25,0.82,0.4,0.25,0.77,0.46,0.55,0.79
sandiaportals.csv,0.8,0.59,0.15,0.5,0.14,0.57,0.62,0.22,0.4,0.74,0.53,0.93,0.31,0.71,0.82,0.91,0.7,0.73
tktoolkit.csv,0.93,0.28,0.36,0.22,0.19,0.55,0.56,0.19,0.32,0.7,0.35,0.78,0.39,0.49,0.65,0.83,0.64,0.65
ultimairis.csv,0.82,0.64,0.12,1.0,0.15,0.53,0.58,0.5,0.6,0.85,0.56,0.88,0.24,0.57,0.94,1.0,0.7,0.8
wikipediardware.csv,0.87,0.29,0.13,0.22,0.15,0.52,0.51,0.2,0.31,0.72,0.3,0.91,0.35,0.39,0.57,0.83,0.61,0.91
