,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.42,0.44,0.29,0.44,0.39,0.43,0.32,0.26,0.49,0.34,0.43,0.31,0.36,0.37,0.3
cme.csv,0.42,0.43,0.37,0.46,0.39,0.43,0.41,0.26,0.49,0.35,0.39,0.33,0.39,0.31,0.25
hydrate.csv,0.35,0.39,0.25,0.46,0.12,0.25,0.41,0.26,0.45,0.13,0.22,0.14,0.14,0.25,0.14
ivef-sdk.csv,0.32,0.24,0.35,0.16,0.34,0.42,0.31,0.26,0.38,0.37,0.42,0.31,0.39,0.37,0.33
jmri.csv,0.17,0.14,0.27,0.16,0.17,0.32,0.26,0.25,0.19,0.2,0.24,0.19,0.11,0.17,0.35
jython.csv,0.4,0.39,0.36,0.44,0.39,0.43,0.41,0.25,0.47,0.37,0.4,0.32,0.41,0.33,0.39
kdenlive.csv,0.22,0.24,0.18,0.2,0.2,0.15,0.22,0.25,0.29,0.17,0.33,0.18,0.16,0.29,0.23
opentibia.csv,0.18,0.33,0.23,0.26,0.28,0.27,0.37,0.26,0.1,0.27,0.31,0.17,0.43,0.33,0.19
projectfactory.csv,0.2,0.23,0.23,0.2,0.21,0.11,0.26,0.26,0.23,0.27,0.36,0.17,0.3,0.33,0.19
runuomondains.csv,0.15,0.17,0.29,0.16,0.19,0.18,0.35,0.25,0.16,0.33,0.15,0.19,0.34,0.21,0.33
somap.csv,0.41,0.42,0.3,0.4,0.35,0.34,0.41,0.26,0.49,0.32,0.42,0.27,0.43,0.37,0.28
taverna.csv,0.11,0.13,0.16,0.1,0.29,0.16,0.41,0.26,0.1,0.3,0.39,0.27,0.39,0.35,0.3
tigermud.csv,0.37,0.25,0.28,0.44,0.17,0.16,0.16,0.25,0.45,0.23,0.19,0.18,0.34,0.29,0.16
unbvision.csv,0.25,0.15,0.15,0.16,0.17,0.33,0.26,0.21,0.2,0.12,0.25,0.19,0.14,0.23,0.35
x-ray-mule.csv,0.18,0.28,0.36,0.4,0.35,0.43,0.25,0.26,0.43,0.37,0.43,0.28,0.27,0.37,0.26
