,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,miranda-icq.csv,roolo.csv,freewrl.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,soar.csv,geotools.csv,web-cat.csv,fulguro.csv
cleartk.csv,0.61,0.67,0.4,0.14,0.6,0.3,0.27,0.89,0.71,0.26,0.68,0.21,1.0,0.77,0.69,0.61,0.36,0.65,0.48,0.85
encog-cs.csv,1.0,0.83,0.83,1.0,0.92,0.9,1.0,1.0,0.3,0.63,0.97,0.88,0.0,0.85,0.58,0.94,1.0,0.9,0.9,0.27
extprosys.csv,0.62,1.0,0.29,0.71,0.82,0.74,0.55,0.89,0.89,0.91,0.62,1.0,0.0,0.85,0.85,0.7,1.0,0.64,0.48,0.39
freewrl.csv,0.93,0.83,0.96,0.71,0.61,0.62,0.91,0.67,0.45,0.78,0.78,0.38,1.0,0.58,0.51,0.52,0.4,0.53,0.45,0.66
fulguro.csv,0.85,0.83,0.64,0.71,0.55,0.9,0.27,0.89,0.5,0.01,0.76,0.79,0.0,0.93,0.43,0.7,0.68,0.14,0.94,0.27
geotools.csv,0.75,1.0,0.84,0.5,0.88,0.93,0.64,0.56,0.89,0.95,0.78,0.62,0.0,0.4,0.7,0.77,0.72,0.33,0.68,0.87
ibatisdb.csv,0.08,0.33,0.25,0.36,0.32,0.33,0.09,0.33,0.35,0.57,0.27,0.08,0.0,0.18,0.08,0.23,0.04,0.17,0.35,0.08
intact.csv,0.52,0.83,0.7,0.71,0.56,0.37,0.18,0.33,0.38,0.27,0.35,0.08,1.0,0.53,0.47,0.41,0.4,0.49,0.26,0.32
japano.csv,0.8,1.0,0.76,0.93,0.78,0.84,1.0,0.11,0.94,0.58,0.89,1.0,0.0,0.97,0.93,0.79,0.56,0.8,0.61,0.7
miranda-icq.csv,0.32,0.67,0.44,0.0,0.47,0.26,0.0,0.33,0.54,0.29,0.27,0.12,1.0,0.32,0.55,0.27,0.36,0.55,0.39,0.62
ofbiz.csv,0.71,0.67,0.96,0.5,0.45,0.66,0.45,0.33,0.43,0.88,0.3,0.08,0.0,0.25,0.34,0.52,0.2,0.58,0.68,0.42
opennms.csv,0.47,0.83,0.02,0.07,0.25,0.04,0.45,0.0,0.13,0.11,0.27,0.5,0.0,0.45,0.42,0.02,0.0,0.29,0.0,0.14
papertoolkit.csv,0.55,0.17,0.13,0.29,0.19,0.16,0.18,0.22,0.14,0.09,0.35,0.17,0.0,0.08,0.21,0.05,0.44,0.22,0.26,0.03
rohxel.csv,0.32,0.33,0.33,0.14,0.16,0.14,0.36,0.0,0.08,0.07,0.27,0.0,0.0,0.08,0.04,0.13,0.4,0.12,0.03,0.57
roolo.csv,0.66,0.67,0.84,0.86,0.81,0.79,0.45,0.56,0.58,0.76,0.19,0.88,0.0,0.68,0.74,0.7,0.88,0.87,0.74,0.65
sevenupdate.csv,1.0,0.17,1.0,1.0,0.94,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,0.77,0.92,1.0,1.0,0.93,1.0,0.82
soar.csv,0.66,0.83,0.99,0.43,0.81,0.93,0.64,0.89,0.73,1.0,0.86,0.38,1.0,0.9,0.7,0.88,0.16,0.87,1.0,1.0
web-cat.csv,0.18,0.17,0.04,0.71,0.42,0.52,0.55,0.22,0.75,0.21,0.46,0.46,0.0,0.27,0.28,0.19,0.48,0.24,0.29,0.23
