,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,4.0,74.0,0.0,4.0,0.0,0.0,168.0,0.0,67.0,0.0,0.0,0.0,3.0
badtrinity-zero.csv,0.0,7.0,0.0,5.0,10.0,35.0,9.0,1.0,10.0,0.0,1.0,1.0,3.0
bibletime.csv,0.0,0.0,0.0,11.0,1.0,6.0,7.0,5.0,3.0,0.0,2.0,1.0,2.0
critterding.csv,0.0,0.0,0.0,7.0,10.0,10.0,12.0,0.0,20.0,0.0,2.0,3.0,1.0
elateportal.csv,0.0,2.0,0.0,11.0,0.0,9.0,2.0,3.0,67.0,0.0,0.0,1.0,0.0
fmri-dmt.csv,11.0,74.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,49.0,1.0,2.0
ftm.csv,0.0,4.0,0.0,10.0,6.0,2.0,10.0,1.0,67.0,0.0,49.0,0.0,0.0
gusanos.csv,2.0,0.0,6.0,5.0,17.0,32.0,29.0,0.0,2.0,0.0,1.0,0.0,3.0
monetdb.csv,0.0,2.0,0.0,14.0,0.0,7.0,9.0,3.0,2.0,0.0,0.0,0.0,3.0
quarkplayer.csv,0.0,1.0,2.0,6.0,6.0,152.0,0.0,0.0,3.0,1.0,49.0,70.0,4.0
reactos-mirror.csv,0.0,2.0,1.0,5.0,0.0,27.0,7.0,0.0,4.0,0.0,3.0,4.0,3.0
sandiaportals.csv,0.0,0.0,4.0,7.0,0.0,45.0,1.0,0.0,17.0,0.0,2.0,0.0,2.0
xbplayer.csv,4.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
