,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.03,0.0,0.0,0.11,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04
badtrinity-zero.csv,0.19,0.37,0.01,0.32,0.46,0.52,0.4,0.21,0.47,0.21,0.5,0.22,0.42
bibletime.csv,0.55,0.68,0.56,0.67,0.79,0.72,0.73,0.59,0.87,0.0,0.67,0.67,0.76
critterding.csv,0.62,0.0,0.46,0.64,0.4,0.6,0.37,0.48,0.76,0.71,0.67,0.56,0.62
elateportal.csv,0.84,1.0,0.4,0.82,0.55,0.71,0.58,0.9,0.27,0.5,0.0,0.83,0.76
fmri-dmt.csv,0.03,0.02,0.04,0.03,0.03,0.02,0.02,0.0,0.0,0.07,0.17,0.11,0.07
ftm.csv,0.22,0.12,0.11,0.21,0.2,0.06,0.23,0.1,0.19,0.07,0.0,0.0,0.0
gusanos.csv,0.59,0.63,0.61,0.55,0.69,0.49,0.56,0.0,0.74,0.64,0.33,0.56,0.63
monetdb.csv,0.34,0.46,0.18,0.51,0.02,0.28,0.55,0.62,0.19,0.36,0.0,0.06,0.46
quarkplayer.csv,0.02,0.02,0.04,0.11,0.06,0.04,0.0,0.1,0.06,0.07,0.17,0.0,0.07
reactos-mirror.csv,0.01,0.37,0.62,0.54,0.19,0.28,0.59,0.34,0.73,0.43,1.0,0.72,0.58
sandiaportals.csv,0.55,0.39,0.56,0.55,0.72,0.48,0.39,0.28,0.61,0.43,0.67,0.06,0.69
xbplayer.csv,0.11,0.17,0.1,0.0,0.02,0.09,0.23,0.14,0.19,0.07,0.0,0.0,0.21
