,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.03,0.82,0.43,0.92,0.31,0.44,0.57,0.78,0.47,0.34,0.09,0.55,0.67,0.22
encog-cs.csv,0.03,0.57,0.34,0.75,0.35,0.44,0.83,0.87,0.61,0.24,0.05,0.37,0.75,0.41
extprosys.csv,0.03,0.85,0.48,0.92,0.41,0.44,0.57,0.79,0.51,0.32,0.09,0.44,0.78,0.45
ibatisdb.csv,0.0,0.43,0.25,0.28,0.31,0.31,0.3,0.35,0.42,0.33,0.11,0.07,0.21,0.69
intact.csv,0.0,0.74,0.34,0.7,0.41,0.54,0.29,0.52,0.56,0.33,0.08,0.31,0.79,0.37
japano.csv,0.0,0.91,0.46,0.86,0.4,0.44,0.85,0.85,0.52,0.32,0.04,0.53,0.73,0.38
lockss.csv,0.03,0.52,0.44,0.68,0.42,0.31,0.83,0.94,0.48,0.43,0.06,0.54,0.66,0.42
ofbiz.csv,0.0,0.89,0.43,0.78,0.29,0.41,0.71,0.55,0.51,0.15,0.06,0.46,0.79,0.38
officefloor.csv,0.03,0.37,0.26,0.62,0.27,0.39,0.05,0.72,0.45,0.2,0.11,0.08,0.39,0.53
opennms.csv,0.0,0.46,0.04,0.06,0.53,0.06,0.6,0.08,0.28,0.3,0.09,0.14,0.58,0.09
rohxel.csv,0.04,0.48,0.4,0.4,0.21,0.38,0.83,0.68,0.44,0.28,0.03,0.38,0.21,0.48
roolo.csv,0.0,0.74,0.44,0.78,0.45,0.43,0.44,0.56,0.36,0.22,0.05,0.68,0.7,0.37
sevenupdate.csv,0.02,0.85,0.44,0.94,0.38,0.45,0.88,0.97,0.51,0.19,0.05,0.52,0.77,0.41
