,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.01,0.9,0.33,0.99,0.23,0.38,0.81,0.91,0.35,0.21,0.05,0.4,0.66,0.16
encog-cs.csv,0.01,0.84,0.25,0.84,0.24,0.3,0.78,0.92,0.54,0.22,0.03,0.27,0.69,0.28
extprosys.csv,0.01,0.87,0.44,0.9,0.26,0.3,0.75,0.91,0.35,0.19,0.05,0.33,0.68,0.3
ibatisdb.csv,0.0,0.88,0.31,0.85,0.28,0.32,1.0,0.9,0.44,0.26,0.06,0.11,0.74,0.59
intact.csv,0.0,0.86,0.29,0.94,0.3,0.48,0.78,0.94,0.48,0.2,0.04,0.32,0.72,0.28
japano.csv,0.0,0.88,0.32,0.87,0.28,0.3,0.77,0.97,0.36,0.2,0.02,0.37,0.65,0.25
lockss.csv,0.02,1.0,0.32,0.95,0.29,0.27,0.79,0.93,0.48,0.33,0.03,0.38,0.66,0.26
ofbiz.csv,0.0,0.9,0.28,0.88,0.22,0.29,0.81,0.94,0.44,0.12,0.03,0.47,0.81,0.27
officefloor.csv,0.02,1.0,0.26,0.89,0.3,0.41,1.0,0.91,0.42,0.19,0.06,0.17,0.81,0.37
opennms.csv,0.0,0.8,0.5,1.0,0.47,0.25,0.79,1.0,0.48,0.25,0.06,0.22,0.69,0.25
rohxel.csv,0.02,0.94,0.32,0.93,0.25,0.45,0.91,0.97,0.56,0.36,0.02,0.41,0.73,0.36
roolo.csv,0.0,0.89,0.3,0.88,0.3,0.3,0.75,0.91,0.32,0.14,0.03,0.67,0.68,0.26
sevenupdate.csv,0.01,1.0,0.28,0.88,0.25,0.29,0.78,0.93,0.36,0.14,0.03,0.35,0.68,0.26
