,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.64,0.67,0.51,0.07,0.61,0.36,0.36,0.89,0.74,0.92,0.39,0.68,0.74,0.64
encog-cs.csv,0.67,0.67,0.63,0.93,0.84,0.85,0.91,1.0,0.33,0.23,0.93,0.86,0.75,0.67
extprosys.csv,0.68,1.0,0.27,0.79,0.99,0.77,0.55,0.89,0.94,1.0,0.47,0.78,0.89,0.79
ibatisdb.csv,0.09,0.33,0.19,0.21,0.34,0.26,0.0,0.33,0.28,0.32,0.21,0.22,0.09,0.2
intact.csv,0.47,0.83,0.4,0.29,0.58,0.29,0.18,0.33,0.4,0.93,0.55,0.35,0.71,0.49
japano.csv,0.77,1.0,0.71,0.93,0.71,0.75,1.0,0.33,0.92,0.8,0.93,0.89,0.92,0.76
lockss.csv,0.62,0.0,0.6,0.21,0.66,0.41,0.82,1.0,0.29,0.28,0.74,0.78,0.7,0.96
ofbiz.csv,0.62,0.83,0.96,0.71,0.55,0.75,0.55,0.33,0.45,0.32,0.76,0.27,0.37,0.56
officefloor.csv,0.57,0.0,0.29,0.43,0.21,0.22,0.0,0.78,0.37,0.24,0.28,0.14,0.12,0.55
opennms.csv,0.38,0.67,0.01,0.0,0.25,0.04,0.45,0.0,0.12,0.26,0.07,0.19,0.46,0.06
rohxel.csv,0.41,0.17,0.45,0.14,0.19,0.16,0.27,0.22,0.16,0.1,0.18,0.27,0.09,0.42
roolo.csv,0.65,0.67,0.76,0.71,0.74,0.78,0.36,0.56,0.51,0.75,0.9,0.19,0.71,0.61
sevenupdate.csv,0.99,0.0,1.0,1.0,0.91,1.0,1.0,1.0,0.92,0.48,0.99,1.0,0.9,1.0
