,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.0,0.22,0.0,0.36,0.26,0.59,0.63
kftpgrabber.csv,0.32,0.45,1.0,0.63,1.0,0.17,0.62
kindb.csv,0.33,0.43,0.93,0.38,0.67,0.2,0.76
m-a-d-n-e-s-s.csv,0.5,0.59,0.91,0.62,0.48,0.33,0.75
netatalk.csv,0.21,0.37,0.72,0.35,0.48,0.23,0.66
quickfast.csv,0.21,0.3,0.9,0.37,0.31,0.26,0.82
wow-qrsk.csv,0.44,0.39,0.0,0.56,0.3,0.23,1.0
