,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.0,0.51,0.0,0.46,0.44,0.73,0.44
kftpgrabber.csv,0.76,0.91,0.67,0.4,0.75,0.58,0.5
kindb.csv,0.45,0.36,0.32,0.38,0.83,0.5,0.41
m-a-d-n-e-s-s.csv,0.86,0.56,0.31,0.85,0.39,0.72,0.81
netatalk.csv,0.41,0.41,0.4,0.49,0.33,0.4,0.35
quickfast.csv,0.43,0.39,0.35,0.4,0.38,0.37,0.36
wow-qrsk.csv,0.58,0.57,0.0,0.59,0.4,0.49,0.8
