,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,kowari.csv,keyczar.csv
agilitybook.csv,0.63,0.04,0.0,0.2,0.16,0.07,0.43,0.29
apolloplayer.csv,0.34,0.71,1.0,0.07,0.44,0.63,0.71,0.15
k3d.csv,0.5,0.08,0.0,0.2,0.12,0.83,0.0,0.35
keyczar.csv,0.29,0.0,0.0,0.2,0.1,0.07,0.0,0.73
kowari.csv,0.76,0.38,0.0,0.8,0.39,0.47,0.57,0.88
redshell.csv,0.18,0.33,0.0,0.0,0.8,0.8,0.29,0.21
rtb-team.csv,0.11,0.38,0.0,0.73,0.15,0.23,0.0,0.17
